GRIDCODE,CVENTMUN,POB  RURAL EN CELL,POB_TOTxMUN,Frur
35672,20439,94,22468,0.00418373
35673,20439,291,22468,0.01295175
35674,20324,1059,27530,0.03846713
35675,20324,323,27530,0.01173266
36729,20439,118,22468,0.00525191
36731,20439,96,22468,0.00427274
36733,20439,60,22468,0.00267047
36734,20324,164,27530,0.00595714
36735,20324,8,27530,0.00029059
36737,20324,75,27530,0.0027243
36738,20324,5,27530,0.00018162
36739,20324,177,27530,0.00642935
36740,20413,96,13253,0.00724364
36743,20413,250,13253,0.01886365
37784,20439,446,22468,0.01985045
37785,20439,124,22468,0.00551896
37786,20439,489,22468,0.02176429
37787,20439,295,22468,0.01312979
37788,20439,69,22468,0.00307103
37789,20439,143,22468,0.00636461
37790,20439,244,22468,0.01085989
37791,20439,1,22468,0.000044508
37793,20324,121,27530,0.00439521
37794,20324,71,27530,0.00257901
37795,20324,14,27530,0.00050854
37796,20324,50,27530,0.0018162
37798,20324,89,27530,0.00323284
37799,20413,151,13253,0.01139365
37800,20413,62,13253,0.00467819
38837,20401,25,11422,0.00218876
38838,20401,17,11422,0.00148836
38839,20439,56,22468,0.00249243
38840,20439,114,22468,0.00507388
38841,20439,212,22468,0.00943564
38842,20439,302,22468,0.01344134
38843,20439,46,22468,0.00204736
38844,20439,155,22468,0.0068987
38845,20439,153,22468,0.00680969
38846,20439,125,22468,0.00556347
38849,20439,158,22468,0.00703222
38850,20439,1,22468,0.000044508
38851,20324,73,27530,0.00265165
38852,20324,304,27530,0.0110425
38853,20324,602,27530,0.02186705
38854,20324,68,27530,0.00247003
38855,20324,431,27530,0.01565565
38856,20324,26,27530,0.00094442
38857,20324,168,27530,0.00610243
38859,20413,172,13253,0.01297819
38860,20413,266,13253,0.02007093
39894,20401,66,11422,0.00577832
39895,20401,628,11422,0.05498161
39896,20401,98,11422,0.00857993
39897,20401,97,11422,0.00849238
39898,20439,95,22468,0.00422824
39899,20439,893,22468,0.03974542
39900,20439,91,22468,0.00405021
39901,20439,131,22468,0.00583052
39902,20439,185,22468,0.00823393
39903,20439,49,22468,0.00218088
39904,20439,254,22468,0.01130497
39905,20439,97,22468,0.00431725
39908,20439,22,22468,0.00097917
39910,20324,96,27530,0.00348711
39911,20324,73,27530,0.00265165
39912,20324,108,27530,0.00392299
39914,20324,33,27530,0.00119869
39918,20413,406,13253,0.03063457
39919,20413,667,13253,0.05032823
39924,20413,252,13253,0.01901456
39925,20413,28,13253,0.00211273
40950,20401,1224,11422,0.10716162
40951,20401,705,11422,0.06172299
40952,20401,29,11422,0.00253896
40953,20401,208,11422,0.01821047
40954,20401,51,11422,0.00446507
40955,20401,96,11422,0.00840483
40956,20401,114,11422,0.00998074
40957,20401,233,11422,0.02039923
40959,20439,812,22468,0.03614029
40960,20439,170,22468,0.00756632
40961,20439,46,22468,0.00204736
40963,20439,72,22468,0.00320456
40964,20439,278,22468,0.01237315
40965,20509,154,8927,0.01725104
40966,20439,2,22468,0.000089016
40967,20439,290,22468,0.01290725
40968,20324,283,27530,0.0102797
40970,20324,263,27530,0.00955322
40971,20324,1525,27530,0.05539412
40972,20324,373,27530,0.01354886
40973,20324,1137,27530,0.0413004
40974,20324,52,27530,0.00188885
40976,20413,36,13253,0.00271637
40977,20413,41,13253,0.00309364
40979,20413,74,13253,0.00558364
40980,20413,109,13253,0.00822455
40981,20413,14,13253,0.00105637
40982,20413,255,13253,0.01924093
40984,20413,35,13253,0.00264091
40985,20413,92,13253,0.00694182
42009,20401,226,11422,0.01978638
42011,20401,90,11422,0.00787953
42016,20401,114,11422,0.00998074
42017,20439,63,22468,0.00280399
42018,20439,113,22468,0.00502938
42019,20439,184,22468,0.00818943
42020,20439,105,22468,0.00467331
42021,20439,121,22468,0.00538544
42022,20509,354,8927,0.03965498
42023,20509,1146,8927,0.12837459
42024,20509,663,8927,0.07426907
42025,20509,1135,8927,0.12714238
42026,20509,105,8927,0.01176207
42027,20012,307,7788,0.03941962
42029,20324,692,27530,0.02513622
42030,20324,405,27530,0.01471122
42031,20324,83,27530,0.00301489
42032,20324,263,27530,0.00955322
42033,20324,73,27530,0.00265165
42034,20324,20,27530,0.00072648
42035,20413,89,13253,0.00671546
42036,20413,78,13253,0.00588546
42037,20413,337,13253,0.02542821
42038,20413,218,13253,0.01644911
42041,20413,28,13253,0.00211273
42042,20413,25,13253,0.00188637
42045,20266,9,7702,0.00116853
43066,20318,13,7080,0.00183616
43067,20401,640,11422,0.05603222
43068,20401,80,11422,0.00700403
43069,20401,28,11422,0.00245141
43070,20401,117,11422,0.01024339
43071,20401,93,11422,0.00814218
43074,20401,106,11422,0.00928034
43075,20401,77,11422,0.00674138
43077,20439,144,22468,0.00640912
43078,20439,83,22468,0.00369414
43079,20439,11,22468,0.00048959
43080,20509,67,8927,0.00750532
43081,20509,134,8927,0.01501064
43082,20509,317,8927,0.03551025
43084,20509,78,8927,0.00873754
43086,20012,4,7788,0.00051361
43087,20012,79,7788,0.01014381
43088,20324,108,27530,0.00392299
43089,20324,107,27530,0.00388667
43092,20324,10,27530,0.00036324
43093,20413,1077,13253,0.08126462
43094,20413,340,13253,0.02565457
43095,20413,335,13253,0.0252773
43097,20413,257,13253,0.01939184
43098,20413,2,13253,0.00015091
43099,20413,9,13253,0.00067909
43101,20413,2,13253,0.00015091
43102,20266,2,7702,0.00025967
43103,20266,1916,7702,0.24876655
44124,20318,259,7080,0.03658192
44125,20318,4,7080,0.00056497
44126,20318,244,7080,0.03446328
44127,20401,294,11422,0.0257398
44128,20401,152,11422,0.01330765
44129,20401,41,11422,0.00358956
44130,20401,37,11422,0.00323936
44131,20401,50,11422,0.00437752
44133,20401,73,11422,0.00639118
44134,20401,101,11422,0.00884258
44135,20401,58,11422,0.00507792
44136,20439,220,22468,0.0097917
44137,20439,73,22468,0.00324907
44138,20439,17,22468,0.00075663
44139,20085,386,20299,0.01901572
44140,20509,145,8927,0.01624286
44142,20509,871,8927,0.09756917
44144,20012,21,7788,0.00269646
44145,20012,132,7788,0.01694915
44146,20012,99,7788,0.01271186
44147,20324,344,27530,0.01249546
44148,20324,48,27530,0.00174355
44149,20324,11,27530,0.00039956
44150,20324,9,27530,0.00032692
44151,20071,29,2473,0.01172665
44153,20413,117,13253,0.00882819
44154,20413,170,13253,0.01282728
44155,20413,66,13253,0.00498001
44156,20413,18,13253,0.00135818
44164,20453,453,1708,0.26522248
44165,20453,735,1708,0.43032787
44168,20307,211,7347,0.02871921
45174,20334,11,22461,0.00048974
45179,20334,20,22461,0.00089043
45183,20318,257,7080,0.03629944
45184,20318,188,7080,0.02655367
45186,20318,58,7080,0.00819209
45189,20401,305,11422,0.02670285
45190,20401,131,11422,0.0114691
45191,20401,140,11422,0.01225705
45193,20401,140,11422,0.01225705
45194,20117,78,1014,0.07692308
45195,20117,12,1014,0.01183432
45196,20117,20,1014,0.01972387
45198,20085,935,20299,0.04606138
45199,20085,341,20299,0.01679886
45200,20085,427,20299,0.02103552
45201,20085,1041,20299,0.05128331
45202,20012,7,7788,0.00089882
45203,20012,488,7788,0.0626605
45204,20012,549,7788,0.07049307
45205,20012,175,7788,0.02247047
45206,20071,8,2473,0.00323494
45207,20071,25,2473,0.01010918
45208,20071,61,2473,0.0246664
45209,20071,7,2473,0.00283057
45210,20071,8,2473,0.00323494
45211,20324,1305,27530,0.04740283
45212,20324,6,27530,0.00021794
45213,20324,128,27530,0.00464947
45214,20413,8,13253,0.00060364
45215,20266,121,7702,0.01571021
45216,20266,26,7702,0.00337575
45217,20266,4,7702,0.00051935
45219,20266,49,7702,0.00636198
45225,20307,13,7347,0.00176943
