GRIDCODE,CVENTMUN,POB URBANA en CELL,POBTOT en MUN,Furb
35674,20324,438,16256,0.026943898
35675,20324,963,16256,0.059239665
36733,20324,0,16256,0
36734,20324,227,16256,0.013964075
37791,20439,0,1850,0
38850,20439,1124,1850,0.607567568
38852,20324,1826,16256,0.112327756
38853,20324,442,16256,0.027189961
39911,20324,1057,16256,0.065022146
39912,20324,1264,16256,0.077755906
39923,20413,1312,25376,0.051702396
39924,20413,127,25376,0.005004729
40982,20413,1525,25376,0.060096154
40983,20413,32,25376,0.001261034
42008,20401,34,11141,0.003051791
42009,20401,101,11141,0.009065613
42022,20509,542,1620,0.334567901
42034,20413,215,25376,0.008472573
42035,20413,113,25376,0.004453026
43066,20318,5,35780,0.000139743
43067,20401,4,11141,0.000359034
43068,20401,81,11141,0.007270443
43093,20413,503,25376,0.019821879
43094,20413,244,25376,0.009615385
44125,20318,1470,35780,0.041084405
44126,20318,38,35780,0.001062046
44130,20401,201,11141,0.018041468
44131,20401,249,11141,0.022349879
45183,20318,499,35780,0.013946339
46264,20012,746,2072,0.36003861
46265,20012,406,2072,0.195945946
46267,20071,197,587,0.33560477
46276,20266,779,779,1
47290,20334,19,21452,0.000885698
47302,20318,694,35780,0.019396311
47303,20318,43,35780,0.001201789
47315,20117,657,1408,0.466619318
47316,20117,751,1408,0.533380682
48348,20334,1362,21452,0.063490584
48349,20334,1241,21452,0.057850084
49408,20334,124,21452,0.005780347
49437,20085,2266,2266,1
49447,20253,145,297,0.488215488
49451,20495,827,851,0.971797885
49470,20453,2,2207,0.000906208
49471,20453,1,2207,0.000453104
50457,20334,49,21452,0.002284169
50501,20306,716,716,1
50510,20495,24,851,0.028202115
50529,20453,3,2207,0.001359311
50530,20453,17,2207,0.007702764
51516,20334,1674,21452,0.078034682
51519,20334,116,21452,0.005407421
51520,20334,5,21452,0.000233079
51536,20526,29,5201,0.005575851
51538,20153,792,3518,0.225127914
51548,20113,20,2175,0.009195402
51549,20113,776,2175,0.356781609
51550,20366,2708,3081,0.878935411
51588,20307,183,2247,0.081441923
51589,20307,671,2247,0.298620383
51656,7097,723,49264,0.014676031
51657,7097,952,49264,0.019324456
52578,20334,739,21452,0.034449002
52579,20334,93,21452,0.00433526
52595,20526,3014,5201,0.579503942
52597,20153,76,3518,0.021603184
52608,20113,1,2175,0.00045977
52619,20279,1794,1798,0.997775306
52621,20236,1021,1055,0.967772512
52622,20236,34,1055,0.032227488
52628,20148,264,871,0.303099885
53678,20279,4,1798,0.002224694
53687,20148,607,871,0.696900115
54711,20433,1498,1498,1
54713,20202,741,1195,0.620083682
54714,20202,454,1195,0.379916318
54737,20254,57,824,0.069174757
54738,20254,767,824,0.930825243
54740,20424,646,937,0.689434365
54741,20424,291,937,0.310565635
54742,20512,225,834,0.269784173
54743,20512,359,834,0.430455635
54744,20211,403,615,0.655284553
54745,20211,212,615,0.344715447
54776,20515,666,47127,0.014132026
55783,20344,51,1258,0.040540541
55788,20263,726,1938,0.374613003
55790,20391,632,1608,0.393034826
55791,20391,520,1608,0.323383085
55796,20347,464,1002,0.463073852
55801,20512,41,834,0.049160671
55802,20512,210,834,0.251798561
55889,7097,1686,49264,0.034223774
56825,20364,1383,6220,0.222347267
56826,20497,3633,4120,0.881796117
56827,20497,487,4120,0.118203883
56842,20344,1207,1258,0.959459459
56843,20291,27,738,0.036585366
56844,20291,206,738,0.279132791
56847,20263,1212,1938,0.625386997
56849,20391,165,1608,0.10261194
56850,20391,292,1608,0.18159204
56853,20095,240,1196,0.200668896
56854,20095,175,1196,0.14632107
56855,20347,538,1002,0.536926148
56951,7097,67,49264,0.001360019
56952,7097,13,49264,0.000263884
56953,7097,81,49264,0.001644203
57865,20467,631,10107,0.062431978
57866,20467,756,10107,0.074799644
57881,20272,2103,5930,0.354637437
57882,20272,179,5930,0.030185497
57884,20364,1132,6220,0.181993569
57885,20364,265,6220,0.042604502
57899,20159,584,961,0.607700312
57900,20159,377,961,0.392299688
57902,20291,114,738,0.154471545
57903,20291,391,738,0.529810298
57912,20095,487,1196,0.407190635
