GRIDCODE,CVE_ENTCVE_MUN,Fa
35674,20324,0.018764455
35675,20324,0.000935527
36729,20439,0.007945729
36730,20439,0.009917024
36731,20439,0.01185463
36733,20324,0.001981486
36734,20324,0.026952585
36737,20324,0.001209014
36738,20324,0.007671598
36739,20324,0.000599014
36740,20413,0.015616472
36741,20413,0.00570166
36742,20413,0.015719722
37780,20401,0.000253664
37781,20439,0.005815201
37782,20439,0.008476365
37783,20439,0.010437734
37784,20439,0.013767145
37785,20439,0.011906412
37786,20439,0.028662914
37787,20439,0.030550526
37788,20439,0.027984614
37789,20439,0.0374608
37790,20439,0.023321082
37791,20439,0.01175463
37792,20324,0.000127443
37793,20324,0.049989007
37794,20324,0.007844565
37795,20324,0.004368829
37796,20324,0.040145506
37797,20324,0.014299742
37798,20324,0.004099466
37799,20324,0.0000697
37800,20413,0.066014465
37801,20413,0.060684195
37802,20413,0.003114788
38837,20401,0.004269852
38838,20401,0.029766343
38839,20401,0.024858559
38840,20439,0.03719674
38841,20439,0.020677059
38842,20439,0.027997085
38843,20439,0.026306401
38844,20439,0.012197574
38845,20439,0.015905415
38846,20439,0.015741053
38847,20439,0.010275114
38848,20439,0.004636188
38849,20439,0.017103179
38850,20439,0.02597795
38851,20324,0.003586884
38852,20324,0.04237248
38853,20324,0.005609321
38854,20324,0.014290749
38855,20324,0.01044404
38856,20324,0.007396368
38857,20324,0.015250871
38858,20413,0.036226535
38859,20413,0.021977746
38860,20413,0.038163844
38861,20413,0.021439317
39893,20401,0.000317336
39894,20401,0.003605693
39895,20401,0.022976949
39896,20401,0.03557306
39897,20401,0.031789815
39898,20401,0.018382803
39899,20439,0.031526888
39900,20439,0.021842807
39901,20439,0.016997994
39902,20439,0.007029679
39903,20439,0.002156054
39904,20439,0.00932199
39905,20439,0.01242908
39906,20439,0.003525139
39907,20439,0.006237028
39908,20439,0.002589446
39909,20439,0.004526532
39910,20324,0.031425199
39911,20324,0.035866169
39912,20324,0.006051629
39913,20324,0.000163816
39914,20324,0.023624782
39915,20324,0.0002641
39917,20413,0.011759738
39918,20413,0.00720886
39920,20413,0.007771986
40950,20401,0.008362683
40951,20401,0.027069461
40952,20401,0.039484071
40953,20401,0.045887109
40954,20401,0.042763918
40955,20401,0.034349574
40956,20401,0.017670086
40957,20401,0.02306846
40958,20439,0.01014009
40959,20439,0.019428157
40960,20439,0.034557303
40961,20439,0.036006227
40962,20439,0.014761373
40963,20439,0.015358999
40964,20439,0.002628969
40965,20439,0.00062629
40966,20439,0.012038916
40967,20012,0.004444783
40968,20324,0.009313775
40969,20324,0.038073736
40970,20324,0.060727702
40971,20324,0.080408764
40972,20324,0.015394705
40973,20324,0.077872544
40974,20324,0.059973158
40975,20324,0.012284502
40976,20413,0.005846793
40977,20413,0.010073548
40978,20413,0.001646001
40979,20413,0.016725924
40981,20413,0.01996766
40982,20413,0.016548347
40983,20413,0.017001969
40984,20413,0.006584426
42009,20401,0.01848287
42010,20401,0.024981167
42011,20401,0.012807823
42012,20401,0.002907033
42013,20401,0.003154147
42014,20401,0.012073032
42015,20401,0.004588713
42016,20401,0.023201071
42017,20401,0.00256037
42018,20439,0.008420707
42019,20439,0.01894169
42020,20439,0.03681764
42021,20085,0.00000433
42022,20439,0.00231204
42023,20509,0.121928392
42024,20509,0.09119356
42025,20012,0.013320802
42026,20012,0.031916318
42027,20012,0.000905696
42029,20324,0.037780108
42030,20324,0.033922108
42031,20324,0.000407604
42032,20324,0.039226233
42033,20324,0.099359214
42034,20324,0.023976986
42035,20413,0.05708783
42036,20413,0.069227257
42037,20413,0.057111001
42038,20413,0.060748826
42039,20413,0.003808374
42041,20413,0.00217733
42042,20413,0.032679888
42044,20266,0.072711224
42045,20266,0.097812798
42047,20307,0.0000338
43065,20318,0.00575972
43066,20318,0.004741584
43067,20318,0.005265323
43068,20401,0.037969104
43069,20401,0.045428095
43070,20401,0.025501843
43071,20401,0.029252974
43072,20401,0.001210445
43073,20401,0.023272988
43074,20401,0.014926989
43075,20401,0.008032233
43076,20401,0.00252373
43077,20439,0.01486736
43078,20439,0.019203399
43079,20439,0.016186821
43080,20085,0.012673733
43081,20509,0.034174125
43082,20509,0.139069305
43083,20509,0.033020586
43084,20012,0.004674164
43085,20012,0.029005236
43086,20012,0.015779222
43088,20324,0.00000107
43089,20324,0.016551523
43091,20324,0.002186302
43092,20324,0.006152398
43093,20324,0.001247685
43094,20413,0.020335978
43095,20413,0.041477184
43096,20413,0.01699285
43097,20413,0.053975262
43098,20413,0.00644841
43101,20266,0.001435406
43103,20266,0.057526431
43104,20266,0.014380042
43105,20307,0.017152829
43106,20307,0.047072071
43107,20307,0.014904687
43108,20307,0.0000874
44122,20318,0.003706144
44123,20318,0.025780523
44124,20318,0.050266713
44125,20318,0.022339677
44126,20318,0.033582851
44127,20318,0.024087648
44128,20318,0.000976765
44129,20401,0.038694088
44130,20401,0.027383755
44131,20401,0.021219816
44132,20401,0.000490419
44135,20401,0.000481227
44136,20439,0.007428982
44137,20117,0.01149095
44138,20117,0.095527945
44139,20085,0.050760748
44140,20085,0.01306234
44141,20085,0.016731444
44142,20085,0.0424407
44150,20071,0.000728888
44151,20071,0.01746596
44153,20413,0.005077295
44156,20266,0.002014554
44160,20266,0.012198917
44164,20307,0.018489262
44165,20307,0.019992527
44166,20307,0.010855239
44167,20307,0.018805298
44168,20307,0.006762096
45171,20334,0.000221201
45172,20334,0.001138446
45173,20334,0.002288943
45174,20334,0.001678186
45176,20334,0.000128201
45177,20334,0.0000616
45178,20334,0.003161965
45179,20334,0.002762436
45180,20318,0.023768513
45181,20318,0.036929981
