GRIDCODE,CVENTMUN,Fb
35671,20439,0.001358376
35672,20439,0.009519878
35673,20439,0.009268321
35674,20324,0.002296358
35675,20324,8.97E-05
36728,20439,0.005771177
36729,20439,0.014572051
36730,20439,0.022986304
36731,20439,0.020553619
36732,20439,0.028179305
36733,20324,0.01173658
36734,20324,0.016449695
36735,20324,0.01337014
36736,20324,0.001733991
36737,20324,0.003018862
36738,20324,0.002235225
36739,20324,0.004746975
36740,20413,0.001474368
36741,20413,0.002847544
36742,20413,0.001082478
36743,20413,0.001162789
37783,20439,0.001148796
37784,20439,0.00213631
37785,20439,0.008576752
37786,20439,0.00364724
37787,20439,0.008332637
37788,20439,0.010177741
37789,20439,0.007067453
37790,20439,0.014929803
37791,20439,0.020617945
37792,20324,0.007888143
37793,20324,0.011368143
37794,20324,0.023857403
37795,20324,0.024719408
37796,20324,0.015734965
37797,20324,0.022234176
37798,20324,0.024793146
37799,20324,0.001164018
37800,20413,0.008997946
37801,20413,0.011117648
37802,20413,0.017535902
37803,20413,0.006597949
37804,20413,0.000448251
38837,20401,0.000898153
38838,20401,0.002663378
38839,20401,0.000508597
38840,20439,0.004251889
38841,20439,0.014878446
38842,20439,0.010169719
38843,20439,0.011257279
38844,20439,0.020333014
38845,20439,0.017947885
38846,20439,0.018053613
38847,20439,0.021569669
38848,20439,0.025197
38849,20439,0.017177403
38850,20439,0.011468561
38851,20324,0.007771133
38852,20324,0.00919478
38853,20324,0.018288751
38854,20324,0.022236437
38855,20324,0.023203736
38856,20324,0.023970108
38857,20324,0.021729745
38858,20324,0.000180723
38859,20413,0.017246865
38860,20413,0.014683775
38861,20413,0.017332126
38862,20413,0.02072707
38863,20413,0.018182819
38864,20413,0.005907183
38865,20413,6.56E-05
39894,20401,0.005010379
39895,20401,0.004465227
39896,20401,0.014206263
39897,20401,0.014189642
39898,20401,0.003712737
39899,20439,0.007899114
39900,20439,0.014128559
39901,20439,0.017245065
39902,20439,0.023657348
39903,20439,0.026792388
39904,20439,0.022146601
39905,20439,0.02007433
