GRIDCODE,CVENTMUN,Ft
36742,20413,0.025924849
36743,20413,0.03201136
37783,20439,0.00249457
37784,20439,0.012254653
37793,20324,0.121121873
37801,20413,0.090667039
38843,20439,0.226273508
38850,20439,0.142898489
38860,20413,0.124610867
39898,20401,0.30675723
39902,20439,0.250933981
39918,20413,0.002168923
39919,20413,0.069322929
40957,20401,0.358710142
40961,20439,0.092493412
40962,20439,0.162791068
40979,20413,0.066752407
40980,20413,0.009458363
42016,20401,0.305694258
42017,20401,0.028838369
42021,20439,0.109860318
42022,20509,0.881613162
42038,20413,0.086744565
43094,20413,0.068299082
43097,20413,0.097746762
44152,20324,0.036275971
44153,20413,0.034993333
44155,20266,0.005610123
44156,20413,0.064776356
44164,20307,0.074771308
45211,20324,0.017519728
45213,20413,0.010232786
45214,20413,0.002018973
45215,20266,0.044042129
45216,20266,0.070614663
45217,20266,0.031450999
45222,20266,0.066503562
45223,20266,0.005247857
46267,20071,0.083219381
46272,20413,0.004035516
46273,20413,0.076223453
46276,20266,0.015828155
46277,20266,0.074632319
46278,20266,0.015771052
46281,20266,0.073836405
47302,20318,0.08898492
47303,20318,0.287148323
47304,20318,0.283770347
47305,20318,0.291051743
47306,20318,0.049044667
47325,20071,0.563843839
47326,20071,0.147503685
47332,20413,0.065779862
47337,20266,0.066221428
47338,20266,0.058870744
47339,20266,0.07131621
47340,20266,0.038245905
47343,20307,0.045940646
47426,7097,0.009407697
48348,20334,0.020659208
48349,20334,0.042053645
48397,20266,0.066740059
48484,7097,0.035798349
48485,7097,0.0331841
49407,20334,0.02203208
49408,20334,0.10136652
49437,20085,0.187173158
49438,20085,0.054628902
49456,20266,0.028458755
49457,20266,0.032366145
50467,20334,0.099983252
50468,20334,0.007612084
50482,20159,0.004243542
50483,20159,0.02891426
50497,20085,0.298720729
50501,20306,0.936685703
50516,20266,0.06638285
51527,20334,0.028312567
51536,20526,0.335763263
51537,20526,0.082838009
51538,20153,0.215077731
51539,20153,0.039057419
51541,20159,0.003171981
51542,20159,0.049171963
51543,20159,0.012970534
51549,20113,1
51550,20366,0.142162393
51556,20254,0.02161917
51557,20254,0.035567183
51559,20279,0.043271546
51560,20279,0.956728454
52579,20334,0.116068669
52586,20364,0.083170225
52587,20364,0.115541837
52595,20526,0.075215846
52598,20153,0.234599978
52602,20159,0.046140754
52609,20366,0.263786025
52610,20366,0.049188582
52616,20254,0.159060503
52621,20236,0.314161939
52622,20236,0.674738051
52717,7097,0.014939238
52721,7097,0.034763383
53624,20414,0.018703074
53625,20414,0.127462281
53638,20334,0.029624878
53639,20334,0.086373826
53646,20364,0.099072344
53652,20526,0.166445552
53653,20433,0.668666761
53654,20526,0.064915424
53656,20202,0.007090725
53657,20159,0.014001257
53658,20159,0.032698241
53659,20159,0.007337942
53661,20159,0.008311997
53662,20159,0.038518413
53668,20291,0.020738691
53675,20254,0.041451882
53676,20254,0.152271139
53677,20254,0.114837843
53678,20254,0.049025221
53681,20424,0.17926255
53682,20424,0.123497648
53775,7097,0.010394946
53776,7097,0.131679045
54684,20414,0.08855308
54685,20414,0.087417196
54698,20334,0.073689343
54699,20334,0.102952703
54711,20526,0.018772685
54713,20202,0.005346889
54714,20202,0.143976419
54715,20202,0.04245155
54718,20159,0.049954764
54721,20159,0.018627094
54722,20159,0.035739256
54727,20291,0.236604219
54737,20254,0.203434385
54738,20254,0.031502488
54740,20424,0.013871965
54741,20424,0.108846906
54742,20512,0.32119421
54743,20512,0.084618524
54834,7097,0.030703689
55744,20414,0.159347684
55749,20467,0.01041704
55750,20467,0.068976955
55751,20467,0.031432987
55758,20334,0.11796309
55766,20364,0.02782742
55772,20202,0.070491874
55773,20202,0.136259545
55777,20159,0.011116608
55778,20159,0.065610335
55779,20159,0.053679823
55780,20159,0.012445934
55781,20159,0.068401645
55782,20159,0.01029563
55783,20344,0.019888592
55784,20291,0.058337007
55785,20291,0.191422033
55786,20291,0.056299776
55791,20391,0.081162595
55795,20254,0.166468148
55796,20347,0.010347359
55799,20347,0.04928061
55800,20424,0.007699073
56803,20414,0.166828396
56810,20467,0.037822816
56811,20467,0.086732796
56812,20467,0.068923195
56813,20467,0.06620342
56814,20467,0.078999138
56817,20334,0.112212515
56825,20364,0.103798181
56826,20364,0.006697842
56830,20202,0.057540164
56831,20202,0.064427105
56836,20159,0.020787384
56837,20159,0.060287479
56838,20159,0.008409727
56839,20159,0.055406489
56840,20159,0.027252951
56841,20344,0.009054162
56842,20344,0.137851083
56843,20291,0.136718167
56844,20291,0.125261819
56850,20391,0.631588845
56854,20254,0.008051994
56855,20347,0.103634474
56856,20347,0.291348785
56857,20347,0.168102861
56858,20347,0.095590497
56876,20125,0.080031067
56877,20125,0.117373851
56878,20125,0.032606738
56879,20410,0.007757578
56952,7097,0.012178276
56953,7097,0.033981096
57862,20414,0.179780235
57863,20414,0.000694873
57865,20467,0.000635354
57866,20467,0.007011228
57873,20467,0.003707641
57874,20467,0.001934897
57875,20543,0.175376976
57876,20334,0.039095621
57881,20272,0.079982316
57882,20272,0.376515058
57883,20272,0.412688618
57884,20364,0.031685884
57888,20364,0.009600594
57889,20202,0.097676374
57890,20202,0.026567058
57894,20159,0.017598227
57895,20159,0.030598777
57896,20159,0.001568188
57899,20159,0.026778991
57900,20159,0.01076556
57902,20291,0.052075332
57903,20291,0.00449178
57904,20059,0.107960159
57905,20059,0.055126452
57908,20391,0.046104332
57909,20391,0.241144227
57912,20095,0.646934913
57937,20125,0.036700513
57938,20008,0.030342382
57939,20008,0.029626304
58012,7097,0.047733592
58013,7097,0.061071018
58908,20482,0.159515245
58909,20482,0.07722877
58921,20414,0.12080483
58922,20414,0.005465886
58923,20367,0.164057578
58925,20467,0.075000988
58934,20543,0.338595681
58941,20213,0.155269116
58942,20213,0.60015414
58943,20213,0.017666578
58948,20364,0.018704411
58949,20364,0.000919199
58953,20159,0.03146674
58963,20059,0.024670743
58964,20059,0.009721768
58965,20059,0.058875921
58968,20533,0.613614909
58989,20410,0.009618178
58997,20008,0.100203751
58998,20008,0.06472437
59021,20248,0.014782772
59072,7097,0.097144534
59961,20485,0.295318168
59964,20507,0.464824918
59965,20507,0.466468586
59966,20482,0.143551973
59967,20482,0.01470096
59980,20090,0.188899738
59982,20367,0.194605864
59983,20367,0.253932796
59984,20467,0.053267809
59985,20489,0.29656525
59986,20489,0.193339891
59993,20543,0.048089104
60001,20213,0.223108434
60024,20059,0.0399861
60025,20059,0.009527515
60027,20533,0.025287375
60029,20059,0.051153782
60030,20059,0.018117258
60035,20126,0.138123218
60036,20126,0.080013876
60037,20209,0.331858755
60038,20209,0.222899883
60047,20428,0.746578463
60048,20410,0.001679257
60049,20410,0.081957714
60050,20410,0.039347752
60051,20410,0.082914847
60057,20052,0.109788344
60058,20052,0.037988369
60079,20248,0.030177391
60080,20248,0.148474913
60081,20248,0.132640957
60082,20248,0.132357938
60083,20248,0.134638523
60084,20248,0.137043067
60085,20248,0.051395637
60086,20248,0.134924915
60087,20043,0.070326446
60088,20043,0.070255194
60089,20043,0.0703252
60090,20043,0.070130279
60131,7097,0.003446259
60132,7097,0.082655393
60133,7097,0.055300628
61020,20485,0.626596692
61034,20482,0.41436112
61039,20090,0.09688128
61040,20090,0.355340162
61042,20082,0.02147149
61044,20489,0.073051312
61045,20467,0.034390126
61069,20314,0.581072774
61070,20159,0.026839874
61080,20059,0.080468598
61081,20353,0.149192094
61083,20384,0.037015468
61084,20362,0.116632606
61085,20059,0.016237475
61086,20059,0.005415731
61087,20059,0.069669847
61088,20059,0.023085141
61089,20059,0.017087184
61093,20126,0.146445832
61094,20126,0.105771424
61095,20126,0.114734404
61096,20209,0.266050451
61106,20428,0.027550817
61110,20410,0.037197192
61111,20125,0.016243937
61112,20410,0.019196777
61113,20410,0.002487432
61117,20052,0.087384309
61122,20282,0.154442255
61123,20282,0.184665604
61124,20282,0.124846685
61138,20308,0.114529664
61171,20327,0.405823665
62077,12023,0.119660622
62079,20485,0.078085139
62093,20482,0.190641932
62099,20090,0.239353423
62101,20082,0.003188067
62102,20082,0.459557348
62104,20467,0.070007743
62125,20277,0.041075431
62126,20277,0.074136086
62127,20277,0.047739583
62128,20314,0.08987255
62140,20353,0.357967347
62141,20353,0.126187504
62143,20384,0.21107148
62144,20059,0.007486881
62145,20059,0.020947704
62146,20059,0.036697466
62147,20059,0.034370378
62148,20059,0.034076067
62149,20154,0.729402779
62150,20059,0.044145309
62151,20059,0.021188415
62152,20126,0.04246443
62156,20074,0.412920315
62157,20074,0.587079685
62158,20361,0.236971936
62159,20361,0.317042299
62172,20410,0.094680531
62173,20410,0.020651764
62176,20008,0.137133775
62177,20008,0.06825947
62182,20282,0.067728764
62183,20282,0.237210705
62195,20124,0.030541553
62196,20124,0.172822771
62216,20141,0.093947791
62219,20141,0.001129642
62220,20141,0.020444015
62230,20025,0.038480868
63135,12023,0.023298199
63136,12023,0.026329215
63158,20225,0.020531263
63159,20225,0.462429577
63161,20082,0.165342787
63163,20467,0.050286253
63182,20277,0.040595475
63183,20277,0.0592216
63184,20277,0.033314161
63186,20277,0.005979044
63187,20277,0.006820989
63200,20384,0.340899409
63201,20059,0.004986108
63206,20538,0.055581255
63207,20235,0.16153576
63210,20126,0.107920272
63211,20146,0.394833086
63212,20146,0.19365005
63218,20361,0.03350408
63219,20125,0.051957563
63220,20125,0.068232704
63232,20410,0.0800226
63236,20052,0.063217146
63237,20052,0.006652283
63242,20282,0.035750096
63243,20052,0.002926608
63244,20515,0.066114777
63253,20124,0.001009454
63254,20124,0.032699041
63255,20124,0.011833954
63256,20124,0.192618552
63257,20043,0.049319265
63258,20043,0.000285902
63275,20141,0.186629165
63278,20141,0.066132672
63289,20025,0.611684146
64195,12023,0.12162544
64203,20402,0.452386872
64213,20070,0.259241318
64214,20070,0.135392057
64218,20225,0.165932647
64222,20467,0.074035025
64223,20467,0.035615994
64241,20477,0.925593876
64254,20534,0.276964517
64255,20534,0.662692682
64256,20534,0.060342801
64259,20351,0.214193501
64260,20059,0.025877302
64261,20059,0.013592456
64266,20235,0.089236592
64267,20235,0.401110805
64268,20126,0.052775126
