GRIDCODE,LONG,LATITUDE,Huso,Poblacion,X,Y,zona
432,228,"EI 2018 V4.1 emissions from Central Mexico Area",,,,,
32169,-105.6576987,15.6342944,6,0,2106321.774,410649.0616,13
32170,-105.6298374,15.63498047,6,0,2109321.774,410649.0616,13
32171,-105.6019758,15.6356613,6,0,2112321.774,410649.0616,13
32172,-105.5741139,15.63633688,6,0,2115321.774,410649.0616,13
32173,-105.5462518,15.63700722,6,0,2118321.774,410649.0616,13
32174,-105.5183894,15.63767232,6,0,2121321.774,410649.0616,13
32175,-105.4905267,15.63833217,6,0,2124321.774,410649.0616,13
32176,-105.4626638,15.63898678,6,0,2127321.774,410649.0616,13
32177,-105.4348006,15.63963614,6,0,2130321.774,410649.0616,13
32178,-105.4069372,15.64028026,6,0,2133321.774,410649.0616,13
32179,-105.3790735,15.64091913,6,0,2136321.774,410649.0616,13
32180,-105.3512095,15.64155276,6,0,2139321.774,410649.0616,13
32181,-105.3233453,15.64218115,6,0,2142321.774,410649.0616,13
32182,-105.2954808,15.64280429,6,0,2145321.774,410649.0616,13
32183,-105.2676161,15.64342218,6,0,2148321.774,410649.0616,13
32184,-105.2397511,15.64403483,6,0,2151321.774,410649.0616,13
32185,-105.2118859,15.64464224,6,0,2154321.774,410649.0616,13
32186,-105.1840205,15.6452444,6,0,2157321.774,410649.0616,13
32187,-105.1561548,15.64584131,6,0,2160321.774,410649.0616,13
32188,-105.1282889,15.64643298,6,0,2163321.774,410649.0616,13
32189,-105.1004227,15.6470194,6,0,2166321.774,410649.0616,13
32190,-105.0725563,15.64760058,6,0,2169321.774,410649.0616,13
32191,-105.0446897,15.64817651,6,0,2172321.774,410649.0616,13
32192,-105.0168228,15.6487472,6,0,2175321.774,410649.0616,13
32193,-104.9889558,15.64931264,6,0,2178321.774,410649.0616,13
32194,-104.9610884,15.64987284,6,0,2181321.774,410649.0616,13
32195,-104.9332209,15.65042778,6,0,2184321.774,410649.0616,13
32196,-104.9053532,15.65097749,6,0,2187321.774,410649.0616,13
32197,-104.8774852,15.65152194,6,0,2190321.774,410649.0616,13
32198,-104.849617,15.65206116,6,0,2193321.774,410649.0616,13
32199,-104.8217486,15.65259512,6,0,2196321.774,410649.0616,13
32200,-104.79388,15.65312384,6,0,2199321.774,410649.0616,13
32201,-104.7660111,15.65364731,6,0,2202321.774,410649.0616,13
32202,-104.7381421,15.65416553,6,0,2205321.774,410649.0616,13
32203,-104.7102728,15.65467851,6,0,2208321.774,410649.0616,13
32204,-104.6824034,15.65518624,6,0,2211321.774,410649.0616,13
32205,-104.6545337,15.65568873,6,0,2214321.774,410649.0616,13
32206,-104.6266639,15.65618597,6,0,2217321.774,410649.0616,13
32207,-104.5987938,15.65667796,6,0,2220321.774,410649.0616,13
32208,-104.5709236,15.6571647,6,0,2223321.774,410649.0616,13
32209,-104.5430531,15.6576462,6,0,2226321.774,410649.0616,13
32210,-104.5151825,15.65812245,6,0,2229321.774,410649.0616,13
32211,-104.4873117,15.65859345,6,0,2232321.774,410649.0616,13
32212,-104.4594406,15.65905921,6,0,2235321.774,410649.0616,13
32213,-104.4315694,15.65951971,6,0,2238321.774,410649.0616,13
32214,-104.4036981,15.65997497,6,0,2241321.774,410649.0616,13
32215,-104.3758265,15.66042499,6,0,2244321.774,410649.0616,13
32216,-104.3479547,15.66086975,6,0,2247321.774,410649.0616,13
32217,-104.3200828,15.66130927,6,0,2250321.774,410649.0616,13
32218,-104.2922107,15.66174354,6,0,2253321.774,410649.0616,13
32219,-104.2643384,15.66217256,6,0,2256321.774,410649.0616,13
32220,-104.236466,15.66259634,6,0,2259321.774,410649.0616,13
32221,-104.2085934,15.66301486,6,0,2262321.774,410649.0616,13
32222,-104.1807206,15.66342814,6,0,2265321.774,410649.0616,13
32223,-104.1528477,15.66383617,6,0,2268321.774,410649.0616,13
32224,-104.1249746,15.66423896,6,0,2271321.774,410649.0616,13
32225,-104.0971013,15.66463649,6,0,2274321.774,410649.0616,13
32226,-104.0692279,15.66502878,6,0,2277321.774,410649.0616,13
32227,-104.0413543,15.66541582,6,0,2280321.774,410649.0616,13
32228,-104.0134806,15.66579761,6,0,2283321.774,410649.0616,13
32229,-103.9856067,15.66617415,6,0,2286321.774,410649.0616,13
32230,-103.9577326,15.66654544,6,0,2289321.774,410649.0616,13
32231,-103.9298585,15.66691149,6,0,2292321.774,410649.0616,13
32232,-103.9019841,15.66727228,6,0,2295321.774,410649.0616,13
32233,-103.8741096,15.66762783,6,0,2298321.774,410649.0616,13
32234,-103.846235,15.66797813,6,0,2301321.774,410649.0616,13
32235,-103.8183603,15.66832318,6,0,2304321.774,410649.0616,13
32236,-103.7904854,15.66866298,6,0,2307321.774,410649.0616,13
32237,-103.7626104,15.66899753,6,0,2310321.774,410649.0616,13
32238,-103.7347352,15.66932684,6,0,2313321.774,410649.0616,13
32239,-103.7068599,15.66965089,6,0,2316321.774,410649.0616,13
32240,-103.6789845,15.6699697,6,0,2319321.774,410649.0616,13
32241,-103.6511089,15.67028326,6,0,2322321.774,410649.0616,13
32242,-103.6232333,15.67059156,6,0,2325321.774,410649.0616,13
32243,-103.5953575,15.67089462,6,0,2328321.774,410649.0616,13
32244,-103.5674815,15.67119243,6,0,2331321.774,410649.0616,13
32245,-103.5396055,15.67148499,6,0,2334321.774,410649.0616,13
32246,-103.5117294,15.67177231,6,0,2337321.774,410649.0616,13
32247,-103.4838531,15.67205437,6,0,2340321.774,410649.0616,13
32248,-103.4559767,15.67233118,6,0,2343321.774,410649.0616,13
32249,-103.4281002,15.67260274,6,0,2346321.774,410649.0616,13
32250,-103.4002236,15.67286906,6,0,2349321.774,410649.0616,13
32251,-103.3723469,15.67313012,6,0,2352321.774,410649.0616,13
32252,-103.3444701,15.67338594,6,0,2355321.774,410649.0616,13
32253,-103.3165932,15.67363651,6,0,2358321.774,410649.0616,13
32254,-103.2887162,15.67388182,6,0,2361321.774,410649.0616,13
32255,-103.2608391,15.67412189,6,0,2364321.774,410649.0616,13
32256,-103.2329619,15.67435671,6,0,2367321.774,410649.0616,13
32257,-103.2050846,15.67458628,6,0,2370321.774,410649.0616,13
32258,-103.1772072,15.67481059,6,0,2373321.774,410649.0616,13
32259,-103.1493298,15.67502966,6,0,2376321.774,410649.0616,13
32260,-103.1214522,15.67524348,6,0,2379321.774,410649.0616,13
32261,-103.0935746,15.67545205,6,0,2382321.774,410649.0616,13
32262,-103.0656968,15.67565537,6,0,2385321.774,410649.0616,13
32263,-103.037819,15.67585344,6,0,2388321.774,410649.0616,13
32264,-103.0099411,15.67604626,6,0,2391321.774,410649.0616,13
32265,-102.9820632,15.67623383,6,0,2394321.774,410649.0616,13
32266,-102.9541851,15.67641615,6,0,2397321.774,410649.0616,13
32267,-102.926307,15.67659322,6,0,2400321.774,410649.0616,13
32268,-102.8984289,15.67676504,6,0,2403321.774,410649.0616,13
32269,-102.8705506,15.67693161,6,0,2406321.774,410649.0616,13
32270,-102.8426723,15.67709293,6,0,2409321.774,410649.0616,13
32271,-102.8147939,15.677249,6,0,2412321.774,410649.0616,13
32272,-102.7869155,15.67739982,6,0,2415321.774,410649.0616,13
32273,-102.759037,15.67754539,6,0,2418321.774,410649.0616,13
32274,-102.7311584,15.67768571,6,0,2421321.774,410649.0616,13
32275,-102.7032798,15.67782078,6,0,2424321.774,410649.0616,13
32276,-102.6754012,15.6779506,6,0,2427321.774,410649.0616,13
32277,-102.6475225,15.67807517,6,0,2430321.774,410649.0616,13
32278,-102.6196437,15.67819448,6,0,2433321.774,410649.0616,13
32279,-102.5917649,15.67830855,6,0,2436321.774,410649.0616,13
32280,-102.563886,15.67841737,6,0,2439321.774,410649.0616,13
32281,-102.5360071,15.67852094,6,0,2442321.774,410649.0616,13
32282,-102.5081282,15.67861926,6,0,2445321.774,410649.0616,13
32283,-102.4802492,15.67871233,6,0,2448321.774,410649.0616,13
32284,-102.4523702,15.67880014,6,0,2451321.774,410649.0616,13
32285,-102.4244912,15.67888271,6,0,2454321.774,410649.0616,13
32286,-102.3966121,15.67896003,6,0,2457321.774,410649.0616,13
32287,-102.368733,15.6790321,6,0,2460321.774,410649.0616,13
32288,-102.3408539,15.67909891,6,0,2463321.774,410649.0616,13
32289,-102.3129747,15.67916048,6,0,2466321.774,410649.0616,13
32290,-102.2850955,15.67921679,6,0,2469321.774,410649.0616,13
32291,-102.2572163,15.67926786,6,0,2472321.774,410649.0616,13
32292,-102.2293371,15.67931368,6,0,2475321.774,410649.0616,13
32293,-102.2014578,15.67935424,6,0,2478321.774,410649.0616,13
32294,-102.1735786,15.67938955,6,0,2481321.774,410649.0616,13
32295,-102.1456993,15.67941962,6,0,2484321.774,410649.0616,13
32296,-102.11782,15.67944443,6,0,2487321.774,410649.0616,13
32297,-102.0899407,15.679464,6,0,2490321.774,410649.0616,13
32298,-102.0620614,15.67947831,6,0,2493321.774,410649.0616,13
32299,-102.0341821,15.67948737,6,0,2496321.774,410649.0616,13
32300,-102.0063028,15.67949118,6,0,2499321.774,410649.0616,13
32301,-101.9784235,15.67948975,6,0,2502321.774,410649.0616,14
32302,-101.9505442,15.67948306,6,0,2505321.774,410649.0616,14
32303,-101.9226649,15.67947112,6,0,2508321.774,410649.0616,14
32304,-101.8947856,15.67945393,6,0,2511321.774,410649.0616,14
32305,-101.8669063,15.67943149,6,0,2514321.774,410649.0616,14
32306,-101.8390271,15.6794038,6,0,2517321.774,410649.0616,14
32307,-101.8111478,15.67937086,6,0,2520321.774,410649.0616,14
32308,-101.7832685,15.67933267,6,0,2523321.774,410649.0616,14
32309,-101.7553893,15.67928923,6,0,2526321.774,410649.0616,14
32310,-101.7275101,15.67924053,6,0,2529321.774,410649.0616,14
32311,-101.6996309,15.67918659,6,0,2532321.774,410649.0616,14
32312,-101.6717517,15.6791274,6,0,2535321.774,410649.0616,14
32313,-101.6438726,15.67906296,6,0,2538321.774,410649.0616,14
32314,-101.6159935,15.67899326,6,0,2541321.774,410649.0616,14
32315,-101.5881144,15.67891832,6,0,2544321.774,410649.0616,14
32316,-101.5602353,15.67883813,6,0,2547321.774,410649.0616,14
