CVE ESTADO,CVE MUNICIPIO,Emisiones de   CO,,,,,,,,,,,,,,,,,,
,,Asados_al_carbon,Combustion_Agricola,Combustion_Comercial,Combustion_Domestica,Combustion_industrial,Incendios_en_construcciones,Incendios_Forestales,Ladrilleras,Quema_de_Residuos,Quemas_Agricolas,Rellenos_Sanitarios,Cruces_front,Embarcaciones_marinas,Equipo_basico_eropouertos,Locomotoras_patio,Locomotoras_arrastre,Maquinara_agricola,Terminales_autobuses,
18,Mg_per_year,2302002000,2270005000,2103007000,2104011000,2102004000,2810030000,2810001000,30500399,2610000000,2801500100,2620030000,2222222222,2280000000,2275050000,2285002010,2285000000,2265005000,2230070310,
01,001,01001,138.5086198,0.180232814,24.4438204,328.9890435,16.98375532,0.253752146,875.2821244,65.57738623,0.466166718,941.5877347,4.025060413,0,0,175.468,8.64737408,14.55409352,349.6024821,0.524357205
01,002,01002,2.22440075,0.542930427,0.279430536,94.24009107,0.120144994,0.007955244,0,0,0.665946352,318.5097114,0,0,0,0,0,7.200122376,9.898079083,0
01,003,01003,4.67561875,0.523419155,0.914901738,154.233408,0.649277605,0.014501271,128.6053704,16.39434656,0.070174534,91.203653,0,0,0,0,0,0,14.89894967,0
01,004,01004,0.8611097,0.00148799,0.118352828,20.2265863,0.175618253,0.002677333,16.1630273,0,0.011312352,152.8945443,0,0,0,0,0,4.707772323,7.812218139,0
01,005,01005,13.63466137,0.104159315,1.790721641,62.83580532,6.284680928,0.031276373,149.4965238,54.64782186,0.071837195,367.2799474,0,0,0,0,0,0,59.4917363,0
01,006,01006,5.8829232,0.246634377,0.785253826,25.78232889,0.547145709,0.011367376,56.95047069,0,0.091254049,398.1052057,0,0,0,0,0,2.738508083,6.481155897,0
01,007,01007,6.44749919,0.685498489,0.85695305,68.4694931,0.646092442,0.011790792,11.69142618,16.39434656,0.291842442,614.6374749,0,0,0,0,0,3.753909957,25.39941655,0
01,008,01008,0.87734504,0,0.204784769,30.60535218,0.083668748,0.001476218,0,0,0.01221556,8.824402851,0,0,0,0,0,0,1.597941279,0
01,009,01009,1.41104205,0.438957111,0.135540998,37.59175207,0.170842015,0.004702263,0,0,0.104892277,301.2880608,0,0,0,0,0,0,4.640005405,0
01,010,01010,0.98000969,0,0.108531017,36.67351701,0.104714391,0.002930382,31.45910061,0,0.26794833,292.2343079,0,0,0,0,0,0,20.82850939,0
01,011,01011,4.29711249,0.359163636,0.495855992,23.08597149,2.99989564,0.012797363,6.311268235,0,0.04934158,221.9118735,0,0,0,0,0,6.369339025,46.25918137,0
02,001,02001,70.43972848,2.459912861,12.23213445,286.5954595,12.67342094,6.722072922,15032.76364,5.412736641,8.895084015,95.39720238,1.570778591,0,27.76016307,0,0,0,125.2102168,0
02,002,02002,149.7850185,0,20.64703813,429.2349268,24.56742095,14.39236106,4.421315828,43.30189313,5.680647385,10854.4797,0.987838952,2.1060053,1.186683605,159.308,6.917899264,20.51902876,1061.241459,2.051401548
02,003,02003,13.59693808,0,1.928298268,93.7505736,6.361428731,1.205343474,109.3116231,102.8419962,3.027792951,0,0.325437518,0,0,0,0,6.874263744,0.348756009,0
02,004,02004,269.2074044,0,33.39717623,698.9557572,55.12762454,21.123601,145.907759,13.5318416,11.24669089,0,5.285789432,60.09158579,0,607.449,3.458949632,12.03644671,0.132476494,0
02,005,02005,13.89092507,0,3.57916153,39.33620897,3.765355287,1.007330109,0,27.06368321,0.552727032,0.45817207,0,0,4.736878547,0,3.458949632,0,0.16464331,0
03,001,03001,9.96499702,0.07904948,1.65829276,200.4931553,1.609774785,0.200614997,0,44.96735056,3.857276667,87.27774324,0,0,4.036039943,0,0,0,21.70538931,0
03,002,03002,6.7933756,0,1.256941427,89.62072959,1.367878086,0.128558658,8.107631866,0,2.643990367,1.029646299,0.111360496,0,6.3774378,0,0,0,12.83325959,0
03,003,03003,41.47842864,0.141824067,9.622638944,348.6756492,2.195701012,0.815730488,2.009563081,24.98186142,4.063005559,8.750144406,1.93444148,0,4.775332366,237.803,0,0,1.730467019,1.270629092
