CVE ESTADO,CVE MUNICIPIO,Emisiones de Amoniaco,,,,,,,,,,,,,
,,Aplicacion_de_fertilizantes,Combustion_Comercial,Combustion_Domestica,Combustion_industrial,Emisiones_domesticas_de_amoniaco,Emisiones_Ganaderas,Incendios_Forestales,Ladrilleras,Quemas_Agricolas,Rellenos_Sanitarios,Cruces_front,Maquinara_agricola,Terminales_autobuses,
13,Mg_per_year,2801700000,2103007000,2104011000,2102004000,5555555555,2805020000,2810001000,30500399,2801500100,2620030000,2222222222,2265005000,2230070310,
01,001,01001,175.1756861,0.023400452,1.78070467,1.212128679,775.5160307,12679.84512,8.780920188,0.067095011,18.81995344,0,0,0.220292927,0.005483753
01,002,01002,110.9023684,0,0.677709449,0.008574735,70.55592787,4991.49929,0,0,6.36668731,0,0,0.009391244,0
01,003,01003,55.86989403,0,1.119590906,0.046338869,68.10669995,249.53131,1.290182287,0.016773753,1.823199548,0,0,0.010969889,0
01,004,01004,40.2286434,0,0.141850262,0.012533855,20.01829639,2179.33205,0.16214915,0,3.056145141,0,0,0.00578138,0
01,005,01005,74.87986499,0.001714286,0.385905981,0.448536961,145.5051907,1332.31707,1.499764484,0.05591251,7.341371948,0,0,0.038541035,0
01,006,01006,49.94512408,0,0.161987831,0.039049727,57.27792734,7604.0205,0.571332972,0,7.956834493,0,0,0.005305432,0
01,007,01007,76.06394396,0,0.479264608,0.046111544,71.76083695,3323.90151,0.117289588,0.016773753,12.2844387,0,0,0.017704234,0
01,008,01008,22.97711714,0,0.224293849,0.005971429,12.86358331,219.46132,0,0,0.176368449,0,0,0.001524924,0
01,009,01009,65.06548872,0,0.268400901,0.012192975,27.47522243,1948.93061,0,0,6.022094126,0,0,0.004453943,0
01,010,01010,131.3201083,0,0.261698011,0.007473454,30.19742037,4976.29967,0.315600929,0,5.840452878,0,0,0.016391009,0
01,011,01011,38.62826451,0.000474691,0.138468918,0.214102209,56.99914663,4868.11489,0.063315291,0,4.435506862,0,0,0.029457411,0
02,001,02001,120.8185184,0.015329863,1.835148264,0.660013271,743.49878,396.10177,150.8157378,0.005538001,1.907353329,0,0,0.080386547,0
02,002,02002,827.054684,0.025875799,2.567556646,1.279435437,1030.201546,1611.25674,0.044355095,0.044304008,217.1158979,0,0.022921578,0.676983607,0.022341683
02,003,02003,1.256641627,0.00241663,0.639518136,0.331293927,133.3455885,284.46909,1.096625433,0.105222018,0,0,0,0.000344688,0
02,004,02004,0.729245096,0.041854848,4.17713278,2.870966251,1541.040596,404.07534,1.463761628,0.013845002,0,0,0.661316031,0.000130931,0
02,005,02005,1.2433891,0.004485567,0.235089271,0.196094209,122.6977338,138.06793,0,0.027690005,0.009166433,0,0,0.000162723,0
03,001,03001,199.8230972,0,1.460577984,0,109.9715475,369.59095,0,0.046008008,1.745140729,0,0,0.017504506,0
03,002,03002,19.56580789,0,0.63270518,0,126.8146738,20.79209,0.081395741,0,0.020580552,0,0,0.008361208,0
03,003,03003,28.15491081,0.01198918,2.433176031,0,290.8276927,245.44454,0.020174434,0.025560004,0.17493785,0,0,0.001710282,0.013814544
03,008,03008,10.96186715,0,3.919038566,0,324.2882622,91.18331,0.230040743,0.025560004,0.16194805,0,0,0.459627693,0
03,009,03009,3.086435226,0,0.355985343,0,27.70942234,31.80778,0,0,0.018639134,0,0,0.127771259,0
04,001,04001,56.22124944,0,13.83805683,0.11103159,124.0833778,185.76614,38.14892041,0,16.82768503,0,0,0.045314088,0
04,002,04002,240.4884658,0.011213917,14.48037644,0.27333419,315.4752407,2072.25209,6.807302998,0,87.85044948,0,0,0.215533452,0.004301919
04,003,04003,154.9073558,0,13.82932111,0.100542155,275.0271908,213.47884,0,0,24.6726436,0,0,0.009068007,0
04,004,04004,336.5323819,0,18.48175656,0.054780095,156.6445141,218.67686,0,0,113.0636872,0,0,0.021620183,0
04,005,04005,119.6146948,0,6.812384257,0.037443724,68.36915855,225.67043,0,0,44.20111579,0,0,0.006252036,0
04,006,04006,404.7118809,0,10.26379391,0.005863602,109.7655679,202.33657,0,0,184.6782839,0,0,0.0306247,0
04,007,04007,99.65197161,0,2.240803843,0.00112859,11.73322407,121.37073,0,0,21.5470371,0,0,0.004736314,0
04,008,04008,64.4694362,0,2.506347262,0.01914119,27.82967283,38.05773,0,0,20.28873087,0,0,0.00705969,0
04,009,04009,189.7725084,0,12.8930508,0.029767227,99.96000806,219.41263,0,0,25.23065855,0,0,0.009416539,0
04,010,04010,166.2676918,0,9.725712627,0.004351324,74.61198489,113.9381,0,0,15.90710657,0,0,0.009281389,0
04,011,04011,115.8811356,0,12.79886835,0.003880183,100.3977393,238.66197,0,0,10.47330696,0,0,0.019297823,0
05,001,05001,8.811370039,0,0.027563963,0.00069283,1.552944056,2.88696,0.635346735,0,2.536049079,0,0,0.001031784,0
