CVE ESTADO,CVE MUNICIPIO,emisiones NOx,,,,,,,,,,,,,,,,,,
,,Asados_al_carbon,Combustion_Agricola,Combustion_Comercial,Combustion_Domestica,Combustion_industrial,Incendios_en_construcciones,Incendios_Forestales,Ladrilleras,Quema_de_Residuos,Quemas_Agricolas,Rellenos_Sanitarios, cruces fronterizos ,Embarcaciones_marinas,Equipo_basico_eropouertos,Locomotoras_patio,Locomotoras_arrastre,Maquinara_agricola,Terminales_autobuses,
18,Mg_per_year,2302002000,2270005000,2103007000,2104011000,2102004000,2810030000,2810001000,30500399,2610000000,2801500100,2620030000,2222222222,2280000000,2275050000,2285002010,2285000000,2265005000,2230070310,
01,001,01001,2.54966549,0.316439292,40.64913147,171.9766313,46.82099366,0.006041718,25.99152376,1.996875342,0.032905886,42.96583502,0,0,0,89.437,82.12858561,147.6733273,722.6000201,0.466245323
01,002,01002,0.04094675,0.953236628,0.490603231,9.687644085,0.331216973,0.000189411,0,0,0.047007978,14.06233811,0,0,0,0,0,73.05614923,29.61374047,0
01,003,01003,0.08606875,0.918980196,1.606316028,13.45261633,1.789935269,0.000345268,3.818939569,0.499218836,0.004953497,4.47797861,0,0,0,0,0,0,35.38585059,0
01,004,01004,0.0158513,0.002612502,0.207795042,2.907931257,0.484146229,6.3746E-05,0.479961485,0,0.000798519,6.793355279,0,0,0,0,0,47.76748219,18.63965704,0
01,005,01005,0.25098673,0.182875132,2.97790109,22.0803075,17.32567388,0.000744676,4.439302874,1.664062785,0.005070861,16.40298854,0,0,0,0,0,0,126.0234605,0
01,006,01006,0.1082928,0.433022188,1.378689924,8.03365201,1.508376993,0.000270652,1.691145598,0,0.006441462,18.27474947,0,0,0,0,0,27.78631317,16.94145445,0
01,007,01007,0.11868551,1.203546965,1.504574057,10.05426113,1.781154378,0.000280733,0.347177182,0.499218836,0.020600643,28.13295729,0,0,0,0,0,38.08910345,57.4312315,0
01,008,01008,0.01615016,0,0.359545778,2.180467515,0.230658877,3.5148E-05,0,0,0.000862275,0.403769856,0,0,0,0,0,0,4.806388682,0
01,009,01009,0.02597445,0.770688058,0.237972745,4.308624831,0.470979048,0.000111959,0,0,0.007404161,13.54306571,0,0,0,0,0,0,14.03185001,0
01,010,01010,0.01804001,0,0.19055064,4.237120894,0.288677723,6.9771E-05,0.93417875,0,0.018914,13.52810354,0,0,0,0,0,0,52.53182871,0
01,011,01011,0.07910121,0.630592644,0.824589409,8.891317145,8.270143566,0.000304699,0.187413262,0,0.003482935,10.02420635,0,0,0,0,0,64.62659355,96.50908902,0
02,001,02001,1.29665392,4.318930978,19.99080552,85.2708759,31.50886415,0.160049355,444.8045155,0.164821457,0.627888283,3.536347588,0,0,210.9674298,0,0,0,263.1200159,0
02,002,02002,2.75724134,0,33.74316443,171.478014,61.07991934,0.342675263,0.13129108,1.318571654,0.400986874,418.2202017,0,0.92641891,9.795355526,91.826,65.70286848,208.1966318,2217.503605,0.978158855
02,003,02003,0.25029232,0,3.151390777,18.40986403,15.81588701,0.028698654,3.246011281,3.131607679,0.213726561,0,0,0,0,0,0,69.74981975,1.083457853,0
02,004,02004,4.9555676,0,54.58053605,280.1528956,137.0591918,0.502942881,4.332734417,0.412053642,0.793884063,0,0,16.28359703,0,540.458,32.85143424,122.1279863,0.411556199,0
02,005,02005,0.25570403,0,5.849373419,15.76534947,9.36148722,0.02398405,0,0.824107284,0.039016026,0.015272713,0,0,38.67451609,0,32.85143424,0,0.511486778,0
03,001,03001,0.18343558,0.138789163,2.911506372,16.29586807,2.826322141,0.004776548,0,1.369285949,0.272278353,3.709428772,0,0,33.29048319,0,0,0,55.97245113,0
03,002,03002,0.1250524,0,2.206843727,11.92158205,2.401618013,0.00306092,0.223644255,0,0.186634614,0.045802959,0,0,52.7863068,0,0,0,27.32252255,0
03,003,03003,0.76353456,0.249004086,15.73296006,52.9111681,3.855047578,0.019422154,0.055539402,0.760714416,0.286800392,0.421455767,0,0,33.30037554,91.116,0,0,5.375930548,0.628534233
03,008,03008,0.82801507,0.03339104,23.92989216,56.38390137,1.518176814,0.017143821,0.625519493,0.760714416,0.365451227,0.461303932,0,0,0,372.151,0,0,1511.191386,0
03,009,03009,0.0531209,0,1.223613706,4.327781968,0.105867744,0.001268568,0,0,0.050314789,0.036837973,0,0,0,7.111,0,0,420.0995568,0
