CVE ESTADO,CVE MUNICIPIO,Emisiones de PM10,,,,,,,,,,,,,,,,,,,,,,,,
,, Actividades_de_la_construccion , Asados_al_carbon , Banco_de_Materiales , Caminos_pavimentados_y_sin_pavimentar , Combustion_Agricola , Combustion_Comercial , Combustion_Domestica , Combustion_industrial , Corrales_de_engorda , Emisiones_domesticas_de_amoniaco , Incendios_en_construcciones , Incendios_Forestales , Labranza , Ladrilleras , Quema_de_Residuos , Quemas_Agricolas , Rellenos_Sanitarios ,Cruces_front,Embarca_marinas,Equi_basico_aeropouertos,Locomotoras_patio,Locomotoras_arrastre,Maquinara_agricola,Terminales_autobuses,
24,Mg_per_year,2311010000,2302002000,2325000000,2296000000,2270005000,2103007000,2104011000,2102004000,2805000000,5555555555,2810030000,2810001000,2801000002,30500399,2610000000,2801500100,2620030000,2222222222,2280000000,2275050000,2285002010,2285000000,2265005000,2230070310,
01,001,01001,809.3551083,69.57193035,0,265.8688506,0.022003996,2.857455819,39.46176793,2.663744799,41.0801808,0,0.015980343,88.16043869,65.54675003,31.60753233,0.208403945,150.6170224,0,0,0,0.851,2.086704967,3.664401925,59.69711346,0.019200313
01,002,01002,2.536297248,1.11730125,0,165.9380591,0.066284483,0.0341147,11.29119983,0.01884363,2.2928184,0,0.000500991,0,107.6313969,0,0.297717193,49.98157021,0,0,0,0,0,1.812833088,1.858807164,0
01,003,01003,16.54267651,2.34853125,0,120.7183152,0.06390242,0.111697164,18.47588272,0.101833182,22.7863068,0,0.000913235,12.95343016,32.35960873,7.901883083,0.031372145,16.29723051,0,0,0,0,0,0,2.628666983,0
01,004,01004,8.699501091,0.4325295,0,8.941120508,0.000181664,0.014449284,2.424550272,0.027544097,13.2018288,0,0.000168608,1.627977469,28.32531611,0,0.005057287,24.08022404,0,0,0,0,0,1.185313942,1.379902708,0
01,005,01005,72.0101052,6.84859695,0,47.40331658,0.012716448,0.209333397,7.531802632,0.985694025,28.5432072,0,0.001969667,15.05763542,15.22698161,26.33961028,0.032115452,58.39847386,0,0,0,0,0,0,10.21498204,0
01,006,01006,0.820473832,2.954952,0,25.43167127,0.030110731,0.095868902,3.096465425,0.085814739,4.7751516,0,0.000715874,5.736183043,29.81736096,0,0.040795928,63.85331961,0,0,0,0,0,0.689496345,1.1720106,0
01,007,01007,16.58967417,3.23853465,0,28.07875004,0.083690121,0.104622411,8.207691753,0.101333619,15.48222,0,0.000742539,1.177587468,62.11079212,7.901883083,0.130470739,97.95153529,0,0,0,0,0,0.945152294,4.427991838,0
01,008,01008,0.192642263,0.4406844,0,35.65137657,0,0.025001459,3.665594717,0.013122669,38.1577176,0,9.29666E-05,0,25.02112212,0,0.005461074,1.402806752,0,0,0,0,0,0,0.300555784,0
01,009,01009,0.908011968,0.70875675,0,24.77645446,0.053590744,0.016547728,4.504596358,0.026794989,2.3808444,0,0.000296131,0,54.67862308,0,0.046893018,47.79008622,0,0,0,0,0,0,0.874123668,0
01,010,01010,4.109321929,0.49225215,0,82.77860717,0,0.013250173,4.394611226,0.016423483,1.7584488,0,0.000184544,3.168633328,83.36854759,0,0.119788665,46.50455069,0,0,0,0,0,0,3.731256758,0
01,011,01011,69.3118787,2.15841015,0,20.67508701,0.043849036,0.057965022,2.76757708,0.47050586,1.2976068,0,0.000805929,0.635685524,18.92109794,0,0.022058589,35.35280933,0,0,0,0,0,1.603660039,7.915572583,0
02,001,02001,36.75290384,35.3813928,0,1980.954496,0.300322186,1.410307468,34.25967451,1.868653376,10.0743168,0,0.423330545,1513.00805,123.5412194,2.608875685,3.976625795,11.48606533,0,0,0.263129399,0,0,0,21.46012262,0
02,002,02002,230.0810586,75.2359881,0,3799.672411,0,2.380506214,51.28451436,3.62238375,330.6650088,0,0.906376072,0.44532515,1257.617984,20.87100548,2.539583537,1443.635259,0,0.035122547,0,1.481,1.669363973,5.166241949,181.6566817,0.037560354
02,003,02003,0,6.8296488,0,17.70930216,0,0.222323705,11.21267552,0.937971312,13.3519908,0,0.07590794,11.01011935,3.279799237,49.56863801,1.353601554,0,0,0,0,0,0,1.730789022,0.066231827,0
