CVE ESTADO,CVE MUNICIPIO,Emisiones de   PM2.5,,,,,,,,,,,,,,,,,,,,,,,,
,,Actividades_de_la_construccion,Asados_al_carbon, Banco_de_Materiales ,Caminos_pavimentados_y_sin_pavimentar,Combustion_Agricola,Combustion_Comercial,Combustion_Domestica,Combustion_industrial,Corrales_de_engorda,Emisiones_domesticas_de_amoniaco,Incendios_en_construcciones,Incendios_Forestales,Labranza,Ladrilleras,Quema_de_Residuos,Quemas_Agricolas,Rellenos_Sanitarios,Cruces_front,Embarca_marinas,Equi_basico_aeropouertos,Locomotoras_patio,Locomotoras_arrastre,Maquinara_agricola,Terminales_autobuses,
24,Mg_per_year,2311010000,2302002000,2325000000,2296000000,2270005000,2103007000,2104011000,2102004000,2805000000,5555555555,2810030000,2810001000,2801000002,30500399,2610000000,2801500100,2620030000,2222222222,2280000000,2275050000,2285002010,2285000000,2265005000,2230070310,
01,001,01001,80.93551083,55.52535761,,35.87759602,0.022003996,2.857455819,38.42278557,1.512222554,4.691356647,0,0.014923043,74.81344,14.53171448,28.86623867,0.190854139,144.842248,0,0,0,0.844,1.880610649,3.291750882,57.90620005,0.017667598
01,002,01002,0.253629725,0.891718128,,22.39246394,0.066284483,0.0341147,10.88957201,0.010697632,0.261839861,0,0.000467844,0,23.86188069,0,0.272646271,48.02044053,0,0,0,0,0,1.62847718,1.803042949,0
01,003,01003,1.654267651,1.874362791,,16.29029852,0.06390242,0.111697164,17.81238473,0.057811257,2.602196237,0,0.000852813,10.99235308,7.174125257,7.216559666,0.02873028,15.63447309,0,0,0,0,0,0,2.549806973,0
01,004,01004,0.869950109,0.345201794,,1.20655695,0.000181664,0.014449284,2.340486207,0.015636935,1.507648849,0,0.000157453,1.38151076,6.279722582,0,0.00463141,23.14081079,0,0,0,0,0,1.064773541,1.338505627,0
01,005,01005,7.20101052,5.465865226,,6.396827001,0.012716448,0.209333397,7.305149591,0.559583912,3.259634262,0,0.001839349,12.77799341,3.375821823,24.05519889,0.029410993,56.12640107,0,0,0,0,0,0,9.908532576,0
01,006,01006,0.082047383,2.358347191,,3.431869607,0.030110731,0.095868902,3.000467325,0.048717499,0.545322313,0,0.00066851,4.867756925,6.610508926,0,0.037360481,61.41770774,0,0,0,0,0,0.619378073,1.136850282,0
01,007,01007,1.658967417,2.584674504,,3.789078895,0.083690121,0.104622411,7.923667382,0.057527652,1.768069524,0,0.000693411,0.999307294,13.76996261,7.216559666,0.119483729,94.23417071,0,0,0,0,0,0.849035111,4.295152082,0
01,008,01008,0.019264226,0.35171022,,4.810964817,0,0.025001459,3.532672489,0.007449811,4.35761135,0,8.68157E-05,0,5.547182774,0,0.005001194,1.349558498,0,0,0,0,0,0,0.291539111,0
01,009,01009,0.090801197,0.565658762,,3.343451562,0.053590744,0.016547728,4.345535172,0.015211662,0.27189243,0,0.000276538,0,12.12225074,0,0.042944132,45.94530833,0,0,0,0,0,0,0.847899958,0
