CVE ESTADO,CVE MUNICIPIO,Suma de   SO2,,,,,,,,,,,,,,,,,
,,Asados_al_carbon,Combustion_Agricola,Combustion_Comercial,Combustion_Domestica,Combustion_industrial,Incendios_Forestales,Ladrilleras,Quema_de_Residuos,Quemas_Agricolas,Rellenos_Sanitarios,Cruces_front,Embarcaciones_marinas,Equipo_basico_eropouertos,Locomotoras_patio,Locomotoras_arrastre,Maquinara_agricola,Terminales_autobuses,
17,Mg_per_year,2302002000,2270005000,2103007000,2104011000,2102004000,2810001000,30500399,2610000000,2801500100,2620030000,2222222222,2280000000,2275050000,2285002010,2285000000,2265005000,2230070310,
01,001,01001,0,0.002704843,0.335291477,2.204924911,0.222947861,8.078446573,0.239625041,0.005484314,4.787666289,0,0,0,9.746,0.549584847,1.324981487,25.35942589,0.001116158
01,002,01002,0,0.008148026,0.004193552,0.372425364,0.001577158,0,0,0.007834663,1.561031278,0,0,0,0,0,0.65548767,1.036065977,0
01,003,01003,0,0.007855211,0.013730384,0.593444586,0.008523148,1.186967704,0.05990626,0.000825583,0.529986613,0,0,0,0,0,0,1.240241303,0
01,004,01004,0,2.2331E-05,0.00177618,0.085475698,0.002305363,0.149177218,0,0.000133086,0.755572728,0,0,0,0,0,0.428588092,0.653276652,0
01,005,01005,0,0.00156317,0.024563006,0.350384767,0.082499785,1.379783326,0.199687534,0.000845143,1.849033291,0,0,0,0,0,0,4.421679105,0
01,006,01006,0,0.003701364,0.011784693,0.137894816,0.00718245,0.525626335,0,0.001073577,2.039918069,0,0,0,0,0,0.249309413,0.5933085,0
01,007,01007,0,0.010287615,0.012860719,0.290754092,0.008481336,0.107906421,0.05990626,0.00343344,3.126066761,0,0,0,0,0,0.341749982,2.013797007,0
01,008,01008,0,0,0.003073306,0.114489631,0.00109833,0,0,0.000143712,0.044657986,0,0,0,0,0,0,0.168150049,0
01,009,01009,0,0.006587647,0.002034131,0.151529645,0.002242664,0,0,0.001234027,1.513339536,0,0,0,0,0,0,0.490881808,0
01,010,01010,0,0,0.001628779,0.148053981,0.001374599,0.290352855,0,0.003152333,1.485091312,0,0,0,0,0,0,1.8402547,0
01,011,01011,0,0.005390147,0.006801567,0.133850686,0.039380002,0.058250068,0,0.000580489,1.122484413,0,0,0,0,0,0.579854477,3.386642117,0
02,001,02001,0,0.036917131,0.162905616,1.485344976,0.172807038,138.0896993,0.019778575,0.104648047,0.290736516,0,0,15.85124413,0,0,0,9.232596966,0
02,002,02002,0,0,0.274973962,2.505887385,0.334986367,0.040806687,0.158228599,0.066831146,64.00486187,0,0.002435263,0.727690305,8.964,0.439667878,1.868019688,77.81416823,0.002536041
02,003,02003,0,0,0.025680769,0.424935544,0.086740562,1.008895398,0.375792922,0.035621094,0,0,0,0,0,0,0.625822019,0.037896121,0
02,004,02004,0,0,0.444778269,4.086454994,0.751686662,1.346660697,0.049446437,0.13231401,0,0,0.047437472,0,53.243,0.219833939,1.095778932,0.014395007,0
02,005,02005,0,0,0.047666703,0.229970271,0.051342088,0,0.098892874,0.006502671,0.001816367,0,0,2.878799061,0,0.219833939,0,0.01789028,0
03,001,03001,0,0.001186335,0.024886821,0.763468155,0.024158688,0,0.164314314,0.045379725,0.493156532,0,0,2.474145542,0,0,0,1.960429786,0
03,002,03002,0,0,0.018863543,0.372288013,0.020528424,0.06778936,0,0.031105769,0.004460069,0,0,3.9208536,0,0,0,0.958595225,0
03,003,03003,0,0.002128424,0.128247612,1.492084393,0.032951973,0.016846251,0.09128573,0.047800065,0.044480851,0,0,2.566024835,10.895,0,0,0.188034,0.001619867
03,008,03008,0,0.000285418,0.204546672,2.156748936,0.012976992,0.188900613,0.09128573,0.060908538,0.059824778,0,0,0,40.9,0,0,53.0443393,0
03,009,03009,0,0,0.010459141,0.189122438,0.000904931,0,0,0.008385798,0.00484324,0,0,0,1.071,0,0,14.7459325,0
04,001,04001,0,0,0.013225046,6.318312218,0.023922848,34.82185547,0,0.046668022,4.343499931,0,0,0,0,0,0.598790286,5.216891088,0
04,002,04002,0,0,0.119590836,7.256262633,0.058892538,6.266684389,0,0.071232907,26.65290116,0,0,13.73277503,6.514,0,1.374495884,24.79388596,0.000872428
04,003,04003,0,0,0.111743879,6.426484875,0.021662796,0,0,0.152696597,14.25957325,0,0,19.26467106,0,0,0,0.996966498,0
04,004,04004,0,0,0.02256907,8.448947732,0.01180291,0,0,0.092330928,94.39391888,0,0,0,0,0,1.813867977,2.407759874,0
04,005,04005,0,0,0.007880324,3.1117761,0.008067618,0,0,0.223646838,11.42514239,0,0,0,0,0,0.583237292,0.69016215,0
04,006,04006,0,0,0.007022803,4.683884423,0.001263371,0,0,0.175613029,48.80700281,0,0,0,0,0,0,3.374647427,0
04,007,04007,0,0,0.002934792,1.023447888,0.000243166,0,0,0.036812568,17.12224803,0,0,0,0,0,0,0.52255648,0
04,008,04008,0,0,0.002542994,1.144733362,0.004124157,0,0,0.01179859,5.231450624,0,0,0,0,0,0.394657234,0.798952572,0
04,009,04009,0,0,0.014710924,5.891384918,0.006413642,0,0,0.125530281,15.84704764,0,0,0,0,0,1.063435995,1.035584824,0
04,010,04010,0,0,0.005300368,4.434719311,0.000937535,0,0,0.099697968,4.056001974,0,0,0,0,0,0.855414694,1.031482485,0
04,011,04011,0,0,0.006357485,5.840681197,0.000836024,0,0,0.146181642,2.774860986,0,0,0,0,0,0,2.180287286,0
05,001,05001,0,0,0.000118604,0.014311514,4.67314E-05,0.584518996,0,0.000138741,0.836183658,0,0,0,0,0,0.310591769,0.113437772,0
05,002,05002,0,0,0.026960266,0.385799947,0.021295811,25.04202527,0,0.006024766,0.619783126,0,0.011372769,0,0,0,0.27236509,0.053986844,0
05,003,05003,0,0,0.003313511,0.081275881,0.001347132,0,0.044121436,0.000306671,0.205211729,0,0,0,0,0,0,0.071201875,0
05,004,05004,0,0.010237636,0.002008601,1.220494899,0.008294013,10.10879891,0,0.02211575,1.330506029,0,0,0,0,0,0,19.55571507,0
05,005,05005,0,0,0.000363226,0.034032095,8.7392E-05,1.33082118,0,0.000615202,0.250985009,0,0,0,0,0,0,0.273457394,0
05,006,05006,0,0,0.004009231,0.210236033,0.002793359,1.833847705,0,0.003840045,0.265205085,0,0,0,0,0,1.323598768,0.791933625,0
05,007,05007,0,0,0.003847231,0.323270451,0.001250816,0.972661127,0.022060718,0.0061742,2.205752977,0,0,0,0,0,2.577911681,0.298930155,0
05,008,05008,0,0,2.96511E-05,0.056797698,2.33657E-05,0,0,0.000948992,0.281423214,0,0,0,0,0,0.580567691,0.031202244,0
05,009,05009,0,0.037690998,0.013773264,0.524913909,0.003285687,0,0,0.01498701,12.26716049,0,0,0,0,0,0,0.860782357,0
05,010,05010,0,0,0.014387003,0.207476214,0.01230464,0,0,0.001084515,0.214674385,0,0,0,0,0,0.274754257,0.122477773,0
05,011,05011,0,0.001293356,0.001171219,0.763763885,0.000859247,0,0,0.02979245,0.590420297,0,0,0,0,0,1.748870575,0.400376054,0
05,012,05012,0,0,0.000148256,0.021463799,2.33657E-05,0,0,0.001040202,0.434375099,0,0,0,0,0,0,0.133247716,0
05,013,05013,0,0,0.000237209,0.01895734,0,0,0,0.001034421,0.052867025,0,0,0,0,0,0,0.163345751,0
05,014,05014,0,0,0.000889533,0.092277192,0.000453905,0,0,0.008809247,1.340174825,0,0,0,0,0,1.158746214,0.148732806,0
05,015,05015,0,0,0.000177907,0.014910707,2.33657E-05,0,0,0.00022968,0.168152332,0,0,0,0,0,0,0.043881452,0
05,016,05016,0,0,0.000303924,0.017419497,0.000205271,0,0,0.000112025,0.087992659,0,0,0,0,0,0,0.05649575,0
05,017,05017,0,0.061964355,0.018770854,0.59005024,0.006396443,0,0.044121436,0.023159956,14.30702147,0,0,0,0,0,0,0.968429888,0
05,018,05018,0,0,0.074326206,0.554897833,0.025528902,0,0,0.002948775,0.108851733,0,0,0,0,0,0.148128382,0.33527117,0
05,019,05019,0,0,0.001363951,0.044040476,0.000886919,0,0,0.000491361,0.39785077,0,0,0,0,0,0,0.104513804,0
05,020,05020,0,0,0.011860441,0.270078671,0.003899948,19.50075516,0.022060718,0.008168634,0.408931862,0,0,0,0,0,1.194583726,0.346473598,0
05,021,05021,0,0,0.000518894,0.094673398,0.000186925,2.625588838,0,0.00025123,0.693372313,0,0,0,0,0,0.286700094,0.124102231,0
05,022,05022,0,0,0.003236079,0.137298071,0.003028867,0,0.088242872,0.001680693,0.926022421,0,0,0,0,0,1.079903688,40.07944857,0
05,023,05023,0,0,0.001630811,0.418671294,0.00059943,72.31801068,0,0.002815984,0.175913688,0,0,0,0,0,1.5195105,0.077425446,0
05,024,05024,0,0,0.009518004,1.959422704,0.002979006,0.072690761,0.022060718,0.039008253,1.005372348,0,0,0,0,0,5.122375017,0.562526458,0
