CVE ESTADO,CVE MUNICIPIO,Emisiones de   COV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aguas_Residuales,Aplicacion_de_plaguicidas,Artes_graficas,Asados_al_carbon,Asfaltado,Combustion_Agricola,Combustion_Comercial,Combustion_Domestica,Combustion_industrial,Esterilizaccion_de_material_hospitalario,Incendios_en_construcciones,Incendios_Forestales,Ladrilleras,Lavado_en_Seco,Limpieza_de_superficies_industriales,Manejo_y_distribucion_de_Combustibles,Manejo_y_Distribucion_de_gas_L.P.,Panificacion,Pintado_Automotriz,Pintura_para_se–alizacion_vial,Quema_de_Residuos,Quemas_Agricolas,Recubrimiento_de_superficies_arquitectonicas,Recubrimiento_de_superficies_en_la_Industria,Rellenos_Sanitarios,Uso_domestico_de_solventes,Cruces_front,Embarcaciones_marinas,Equipo_basico_eropouertos,Locomotoras_patio,Locomotoras_arrastre,Maquinara_agricola,Terminales_autobuses,
33,Mg_per_year,2630030000,2461850000,2425000000,2302002000,2461020000,2270005000,2103007000,2104011000,2102004000,2850000010,2810030000,2810001000,30500399,2420000055,2415000000,2501060000,3333333333,2302050000,2401005000,2401008000,2610000000,2801500100,2401001000,2401002000,2620030000,2465200000,2222222222,2280000000,2275050000,2285002010,2285000000,2265005000,2230070310,
01,001,01001,1082.988183,38.91094988,378.8424482,8.93688211,8.875144891,0.011052445,2.44626425,111.5142074,0.879957414,0.82747,0.015738675,61.11520451,1.917000328,9.684705047,1681.29309,619.5442627,4500.022842,39.46491744,343.1499626,18.93229838,0.046923793,105.8268859,877.5263692,215.7477279,213.4264658,2116.880369,0,0,14.545,4.765931097,5.465548634,72.03432069,0.087956016
01,002,01002,22.42266747,15.53551228,0.98145712,0.14352325,5.319563812,0.033294207,0.029862805,41.07964145,0.006224918,0.00656,0.000493415,0,0,0,13.65180103,19.74101988,215.8372505,0.751712713,2.334353487,11.3475972,0.067033376,34.888532,14.10211313,0.287170607,0,33.98985766,0,0,0,0,2.703886639,2.332502988,0
01,003,01003,44.18119388,5.789384227,1.962914239,0.30168125,4.082839959,0.032097714,0.097775758,67.77535002,0.033640183,0.03608,0.000899424,8.979668717,0.479250082,0.103718394,71.8256919,33.74075698,305.2206592,3.111255396,14.78423875,8.709440273,0.007063686,9.169654822,29.62527609,6.956172718,0,71.46476037,0,0,0,0,0,3.216820715,0
01,004,01004,9.532909202,4.664962861,1.962914239,0.0555607,1.409534944,9.12483E-05,0.012648394,8.629057012,0.009099082,0.00246,0.000166058,1.128558086,0,0,12.63714014,2.691635888,75.86911294,0.16704727,0.778117829,3.006794421,0.001138688,16.86369205,5.459400472,0.143585303,0,13.16493545,0,0,0,0,1.767925879,1.689456929,0
01,005,01005,44.47937966,17.30873444,14.96722107,0.87973847,3.358001347,0.006387378,0.179210052,23.77711295,0.325620069,0.14616,0.00193988,10.43836081,1.597500274,0.51859197,577.5265287,58.40326573,787.4610221,2.902446309,11.67176744,7.16322767,0.007231048,40.55702037,86.38296968,87.29569335,0,208.3985812,0,0,0,0,0,12.35596389,0
01,006,01006,37.71598389,10.30893145,4.907285598,0.3795792,2.323412377,0.015124398,0.083920256,10.01867876,0.028348555,0.0328,0.000705048,3.976477488,0,0.207436788,24.87456539,26.51924793,257.5604249,2.296899957,8.559296119,4.956261214,0.009185525,45.08534828,37.27646528,5.911194867,0,89.91416208,0,0,0,0,1.028401329,1.448900634,0
01,007,01007,52.39937484,10.8028434,6.870199837,0.41600689,2.690386836,0.04203693,0.091582769,29.1627087,0.033475155,0.04018,0.00073131,0.816335536,0.479250082,0.103718394,53.90001622,26.49430093,258.2087477,2.860684492,7.78117829,5.739084483,0.029376517,70.12940791,40.85317545,2.998360339,0,98.53787047,0,0,0,0,1.409718675,5.39134299,0
01,008,01008,10.12024484,1.092126535,0.98145712,0.05660824,2.499639833,0,0.021885395,13.55983873,0.004335021,0.00656,9.15607E-05,0,0,0.025929599,3.320708358,3.7529501,46.4666918,0.271451813,1.556235658,5.33218643,0.001229604,1.007227828,5.559757099,0.630693292,0,13.41031107,0,0,0,0,0,0.377376327,0
01,009,01009,14.64272925,7.026379284,0,0.09104355,2.773233668,0.026918235,0.014485298,16.28571568,0.008851617,0.00082,0.000291652,0,0,0.025929599,13.15984423,12.07447077,94.9237421,0.250570904,0.778117829,5.915811847,0.010558333,33.64672323,8.939768273,0.343522685,0,21.56816141,0,0,0,0,0,1.098214354,0
