CVEMUN , SCC ,VOC,CO,NO,NO2,NH3,PM10,PM25,CN,CO2,SO2,CH4,Categoria
1001,2201001330,110.0090415,2905.198906,1436.127332,29.30872106,4.571568854,16.57137148,5.249665013,,,2.221331171,, Taxi 
1001,2201001330,,,,,,,,10.10280745,390848.074,,44.67052562,AutPart
1001,2201001330,,,,,,,,0.080079681,51507.85866,,2.768872744,Taxi
1001,2201020330,3504.860909,48226.58255,13288.43286,271.1925074,76.33447333,775.5164351,587.4982399,,,23.91725243,, Autom—viles Particulares 
1001,2201020330,6.62085557,68.42757015,17.45924773,0.356311178,0.27746059,1.864570875,0.703102349,,,0.157681676,, Camioneta de Transporte Pœblico 
1001,2201020330,,,,,,,,0.004453757,2457.849199,,0.12344118,Combi
1001,2201040330,896.726787,8809.254413,2036.872203,41.56882046,15.17891044,111.4381056,78.59406993,,,6.65424419,, Camionetas particulares 
1001,2201040330,2814.061406,26509.95872,5176.409886,105.6410181,36.88617341,391.7519223,298.6770254,,,19.90662501,, Pickup y Veh<3.8Ton 
1001,2201040330,,,,,,,,2.038426893,106183.7769,,15.45441252,CamionetaPart
1001,2201040330,,,,,,,,3.365143041,145039.156,,22.70523613,Pickup
1001,2201070330,,,,,,,,2.077124791,82706.83162,,9.95243549,Veh<3.8Ton
1001,2201070330,,,,,,,,0.829892348,31101.15471,,5.720941015,Veh>3.8Ton
1001,2201080330,2312.758339,29699.87057,924.6702235,18.87082089,23.10446225,58.32402923,30.9631722,,,8.717592535,, Motocicletas 
1001,2201080330,,,,,,,,1,157789,,18,Moto
1001,2230001330,,,,,,,,0,343.7814815,,0.131481481,AutPart
1001,2230001330,,,,,,,,0.049166667,288.6025,,0.11875,Combi
1001,2230001330,,,,,,,,0,40.683,,0.009,Taxi
1001,2230060330,,,,,,,,0.12064,680.036544,,0.252416,CamionetaPart
1001,2230060330,,,,,,,,1.279320072,4361.546134,,1.307641953,Pickup
1001,2230071330,8228.79352,16396.99631,3201.84798,981.2114764,16.29214979,910.7525254,756.4915797,,,77.99150763,, Veh>3.8Ton 
1001,2230073330,,,,,,,,25.14132427,121768.5527,,37.30488869,Veh>3.8Ton
1001,2230074330,711.1514708,1037.097867,418.5283987,128.2587027,1.139272046,110.0422917,90.68758407,,,12.65237244,, Tractocamiones 
1001,2230074330,,,,,,,,20.07079763,100522.7088,,27.63452616,Tractocamion
1001,2230074330,,,,,,,,3.534476705,12012.9529,,3.08177371,Veh<3.8Ton
1001,2230075330,2788.572796,4352.873207,1492.571835,457.4010455,3.701554401,343.0546291,286.6782786,,,37.14111418,, Autobœs 
1001,2230075330,,,,,,,,33.27421796,83925.01054,,10.76771673,Autobus
1001,220100133V,891.0212694,,,,,,,,,,,AutPart
1001,220100133V,44.31421139,,,,,,,,,,,Taxi
1001,220102033V,164.921666,,,,,,,,,,,CamionetaPart
1001,220102033V,1.612453757,,,,,,,,,,,Combi
1001,220102033V,226.596124,,,,,,,,,,,Pickup
1001,220104033V,109.3340557,,,,,,,,,,,Veh<3.8Ton
1001,220107033V,49.78815694,,,,,,,,,,,Veh>3.8Ton
1001,220108033V,328,,,,,,,,,,,Moto
1002,2201001330,0.35570309,9.387483465,4.641886969,0.094732387,0.014783681,0.052998911,0.016834993,,,0.007176282,, Taxi 
1002,2201001330,,,,,,,,0.14001119,5416.623477,,0.619072816,AutPart
1002,2201001330,,,,,,,,0.000258964,166.5677021,,0.008954066,Taxi
1002,2201020330,48.56895348,668.1824355,184.1149,3.757446938,1.057648417,10.73729408,8.13382015,,,0.331088361,, Autom—viles Particulares 
1002,2201020330,4.850352066,49.52315159,11.67863384,0.238339466,0.185048145,0.6169048,0.232047121,,,0.10942334,, Camioneta de Transporte Pœblico 
1002,2201020330,,,,,,,,0.003356936,1819.992999,,0.089761561,Combi
1002,2201040330,18.7323897,183.9387647,42.43259225,0.86597127,0.316367581,2.143203436,1.506598898,,,0.138049899,, Camionetas particulares 
1002,2201040330,110.9227048,1020.218372,199.2155976,4.06562444,1.415601507,12.64664375,9.600933851,,,0.752147801,, Pickup y Veh<3.8Ton 
1002,2201040330,,,,,,,,0.042640339,2221.012181,,0.322825555,CamionetaPart
1002,2201040330,,,,,,,,0.152354322,6563.708746,,1.022560476,Pickup
1002,2201070330,,,,,,,,0.059023637,2343.086198,,0.277413132,Veh<3.8Ton
1002,2201070330,,,,,,,,0.009796368,365.6076304,,0.067412451,Veh>3.8Ton
1002,2201080330,70.03923736,899.4265629,28.00257863,0.571481197,0.699692176,1.766276425,0.937684207,,,0.264002305,, Motocicletas 
1002,2201080330,,,,,,,,0.044506021,4778.451055,,0.553934826,Moto
1002,2230001330,,,,,,,,0.01475,86.58075,,0.035625,Combi
1002,2230060330,,,,,,,,0.050235081,171.2649005,,0.051347197,Pickup
1002,2230071330,122.9314648,214.9784657,57.90172723,17.74407768,0.272221644,17.22107723,14.3071213,,,1.390362421,, Veh>3.8Ton 
1002,2230073330,,,,,,,,0.477924123,2314.759881,,0.709147459,Veh>3.8Ton
1002,2230074330,0.269069794,0.392394198,0.158353537,0.048527697,0.000431053,0.041635374,0.034312366,,,0.004787126,, Tractocamiones 
1002,2230074330,,,,,,,,0.007593945,38.03356367,,0.010455742,Tractocamion
1002,2230074330,,,,,,,,0.061004992,207.3433078,,0.053191348,Veh<3.8Ton
1002,2230075330,27.80232098,43.39853646,14.88107512,4.560329467,0.036904829,3.420285434,2.858208163,,,0.370300241,, Autobœs 
1002,2230075330,,,,,,,,0.331746939,836.7398857,,0.107355102,Autobus
1002,220100133V,12.34834466,,,,,,,,,,,AutPart
1002,220100133V,0.143304664,,,,,,,,,,,Taxi
1002,220102033V,3.449873939,,,,,,,,,,,CamionetaPart
1002,220102033V,1.215356936,,,,,,,,,,,Combi
1002,220102033V,10.25896923,,,,,,,,,,,Pickup
1002,220104033V,3.106839634,,,,,,,,,,,Veh<3.8Ton
1002,220107033V,0.587718547,,,,,,,,,,,Veh>3.8Ton
1002,220108033V,9.92202498,,,,,,,,,,,Moto
1003,2201001330,2.54464518,67.15661246,33.20734526,0.677700924,0.105760174,0.379146145,0.120434922,,,0.051338017,, Taxi 
1003,2201001330,,,,,,,,0.277236443,10725.4672,,1.225827346,AutPart
1003,2201001330,,,,,,,,0.00185259,1191.599715,,0.064056011,Taxi
1003,2201020330,96.17148391,1323.069404,364.5662892,7.440128352,2.09425179,21.26093793,16.10579387,,,0.65558874,, Autom—viles Particulares 
1003,2201020330,3.563866418,36.24596522,8.340846455,0.170221356,0.134630179,0.244747646,0.091704498,,,0.078704358,, Camioneta de Transporte Pœblico 
1003,2201020330,,,,,,,,0.002492775,1351.479949,,0.066654624,Combi
