GRIDCODE,CVENTMUN,LONG_CARRETERA TOTAL x MUNICIPIO x NO. DE CARRILES (m),LONG_CARR_x_CELDA x CARRILES
35672,20439,132072.0248,1839.64597
35673,20439,132072.0248,6599.075865
35674,20324,119476.0184,5296.037317
35675,20324,119476.0184,1273.997553
36731,20439,132072.0248,8505.836292
36734,20324,119476.0184,6772.03683
36742,20413,226584.7384,1961.445248
36743,20413,226584.7384,2421.943885
37783,20439,132072.0248,2151.897547
37784,20439,132072.0248,6136.904164
37785,20439,132072.0248,6049.734939
37786,20439,132072.0248,5062.292285
37787,20439,132072.0248,6055.295917
37788,20439,132072.0248,6093.436521
37789,20439,132072.0248,6298.053099
37790,20439,132072.0248,584.1251264
37791,20439,132072.0248,1632.479292
37793,20324,119476.0184,5100.53976
37794,20324,119476.0184,4233.671859
37795,20324,119476.0184,5587.75842
37796,20324,119476.0184,2084.987478
37801,20413,226584.7384,6859.767288
38839,20439,132072.0248,1302.398368
38840,20439,132072.0248,8164.107277
38841,20439,132072.0248,6001.023714
38842,20439,132072.0248,3974.160832
38843,20439,132072.0248,7081.134574
38845,20439,132072.0248,1532.572966
38850,20439,132072.0248,1499.861362
38851,20324,119476.0184,1913.377892
38852,20324,119476.0184,5309.734583
38853,20324,119476.0184,2075.038409
38854,20324,119476.0184,850.7404597
38855,20324,119476.0184,5674.641102
38856,20324,119476.0184,6506.229368
38857,20413,226584.7384,110.6525649
38858,20413,226584.7384,4795.480804
38860,20413,226584.7384,9427.919589
39895,20401,100577.8702,5557.891314
39896,20401,100577.8702,6813.244442
39897,20401,100577.8702,6197.130356
39898,20401,100577.8702,1192.181205
39902,20439,132072.0248,7852.87373
39912,20324,119476.0184,6388.83668
39917,20413,226584.7384,2060.154814
39918,20413,226584.7384,6924.508555
39919,20413,226584.7384,4282.564456
39923,20413,226584.7384,267.8112744
39924,20413,226584.7384,1546.715431
40951,20401,100577.8702,6062.465529
40952,20401,100577.8702,6200.766864
40953,20401,100577.8702,6195.678413
40954,20401,100577.8702,707.9999432
40957,20401,100577.8702,6799.594984
40961,20439,132072.0248,2894.542557
40962,20439,132072.0248,5094.478226
40971,20324,119476.0184,6308.822274
40976,20413,226584.7384,2058.532468
40977,20413,226584.7384,7087.104161
40978,20413,226584.7384,2304.251797
40979,20413,226584.7384,6329.718116
40980,20413,226584.7384,736.8573079
40981,20413,226584.7384,6608.761755
40982,20413,226584.7384,621.904959
40983,20413,226584.7384,3094.549344
40984,20413,226584.7384,19011.37811
40985,20413,226584.7384,3241.78306
42008,20401,100577.8702,754.2156024
42009,20401,100577.8702,2545.215165
42010,20401,100577.8702,977.5224794
42016,20401,100577.8702,5794.642812
42017,20401,100577.8702,546.6509266
42021,20439,132072.0248,3438.032589
42022,20509,5890.779614,5193.388845
42029,20324,119476.0184,177.4701068
42030,20324,119476.0184,6317.559716
42035,20413,226584.7384,7216.74724
42038,20413,226584.7384,6562.99733
42042,20413,226584.7384,3487.613174
42043,20413,226584.7384,7223.693493
42044,20413,226584.7384,2257.698666
42045,20266,109116.1132,2324.978744
43065,20318,103895.9781,623.6167286
43066,20318,103895.9781,6573.702477
43067,20401,100577.8702,3051.677387
43069,20401,100577.8702,6426.395765
43070,20401,100577.8702,4984.852155
43088,20324,119476.0184,1633.319418
43089,20324,119476.0184,4598.741759
43094,20413,226584.7384,1079.397809
43097,20413,226584.7384,7395.41125
43103,20266,109116.1132,3457.762756
43104,20266,109116.1132,4395.81961
43105,20266,109116.1132,2802.337077
44124,20318,103895.9781,7051.337082
44125,20318,103895.9781,6035.929347
44126,20318,103895.9781,1159.056565
44129,20401,100577.8702,3785.630714
44130,20401,100577.8702,6450.521502
44146,20012,32243.02168,69.4679272
44147,20324,119476.0184,991.6963691
44152,20324,119476.0184,505.3656324
44153,20413,226584.7384,2647.556666
44155,20266,109116.1132,534.7462522
44156,20413,226584.7384,4900.907018
44164,20307,110558.456,1117.047559
44165,20307,110558.456,7353.924185
44166,20307,110558.456,1030.404412
45182,20318,103895.9781,7402.214482
45183,20318,103895.9781,2695.855375
45184,20318,103895.9781,6230.584672
45185,20318,103895.9781,629.1131902
45205,20071,34146.39211,2306.160836
45206,20071,34146.39211,3631.232125
45211,20324,119476.0184,244.0697779
45213,20413,226584.7384,774.2012228
45214,20413,226584.7384,152.7532245
45215,20266,109116.1132,4198.011736
45216,20266,109116.1132,6730.854995
45217,20266,109116.1132,2997.849246
45222,20266,109116.1132,6338.992649
45223,20266,109116.1132,500.21572
45225,20307,110558.456,5491.382717
45226,20307,110558.456,6125.957039
45227,20307,110558.456,5622.494795
