GRIDCODE,CVENTMUN,Furb,Frur,Fpob,Purb_T,Prur_T,P_tot
35672,20439,0,0.00418373,0.00386545,0,94,94
35673,20439,0,0.05251914,0.04852373,0,1180,1180
35674,20324,0.0269439,0.03846713,0.03418901,438,1059,1497
35675,20324,0.109375,0.01173266,0.04798337,1778,323,2101
36729,20439,0,0.00525191,0.00485237,0,118,118
36731,20439,0,0.00427274,0.00394769,0,96,96
36734,20324,0.02177658,0.02960407,0.02669803,354,815,1169
36735,20324,0,0.00029059,0.00018271,0,8,8
36737,20324,0,0.0027243,0.00171288,0,75,75
36738,20324,0,0.00610243,0.00383684,0,168,168
36739,20324,0,0.00679259,0.00427077,0,187,187
36740,20413,0,0.00724364,0.00248518,0,96,96
36743,20413,0,0.01886365,0.00647182,0,250,250
37784,20439,0,0.01985045,0.01834032,0,446,446
37785,20439,0,0.00551896,0.0050991,0,124,124
37786,20439,0,0.02630408,0.02430299,0,591,591
37787,20439,0,0.01312979,0.01213093,0,295,295
37788,20439,0,0.04508635,0.04165639,0,1013,1013
37789,20439,0,0.08189425,0.07566412,0,1840,1840
37790,20439,0,0.04837992,0.0446994,0,1087,1087
37791,20439,0,0.00823393,0.00760753,0,185,185
37793,20324,0,0.0717036,0.0450829,0,1974,1974
37794,20324,0,0.01038867,0.00653177,0,286,286
37795,20324,0,0.00163458,0.00102773,0,45,45
37796,20324,0,0.00508536,0.00319737,0,140,140
37798,20324,0,0.00323284,0.00203261,0,89,89
37799,20413,0,0.07937825,0.02723343,0,1052,1052
37800,20413,0,0.00467819,0.00160501,0,62,62
38837,20401,0,0.00218876,0.00110801,0,25,25
38838,20401,0,0.00148836,0.00075345,0,17,17
38839,20401,0,0.00709158,0.00358995,0,81,81
38840,20439,0,0.03573972,0.03302081,0,803,803
38841,20439,0,0.02648211,0.02446747,0,595,595
38842,20439,0,0.02287698,0.02113661,0,514,514
38843,20439,0,0.00204736,0.0018916,0,46,46
38844,20439,0,0.0068987,0.00637388,0,155,155
38845,20439,0,0.00680969,0.00629164,0,153,153
38846,20439,0,0.00556347,0.00514023,0,125,125
38849,20439,0,0.00725476,0.00670285,0,163,163
38850,20439,1,0.01557771,0.09046797,1850,350,2200
38851,20324,0,0.00265165,0.0016672,0,73,73
38852,20324,0.23462106,0.05699237,0.12293884,3814,1569,5383
38853,20324,0.3937623,0.04565928,0.17489609,6401,1257,7658
38854,20324,0,0.00247003,0.00155301,0,68,68
38855,20324,0,0.01627316,0.01023158,0,448,448
38856,20324,0,0.00094442,0.0005938,0,26,26
38857,20324,0,0.02459136,0.01546156,0,677,677
38859,20413,0,0.01297819,0.00445261,0,172,172
38860,20413,0,0.02007093,0.00688602,0,266,266
39894,20401,0,0.00577832,0.00292514,0,66,66
39895,20401,0,0.05498161,0.02783318,0,628,628
39896,20401,0,0.00857993,0.00434339,0,98,98
39897,20401,0,0.01103134,0.00558436,0,126,126
39898,20401,0,0.02223779,0.01125737,0,254,254
39899,20439,0,0.03974542,0.03672177,0,893,893
39900,20439,0,0.00405021,0.00374208,0,91,91
39901,20439,0,0.00814492,0.00752529,0,183,183
39902,20439,0,0.00823393,0.00760753,0,185,185
39903,20439,0,0.00218088,0.00201497,0,49,49
39904,20439,0,0.01130497,0.01044494,0,254,254
39905,20439,0,0.00431725,0.00398882,0,97,97
39908,20439,0,0.00672067,0.00620939,0,151,151
39910,20324,0,0.01075191,0.00676015,0,296,296
39911,20324,0.06502215,0.01823465,0.03560499,1057,502,1559
39912,20324,0.14849902,0.0559753,0.09032568,2414,1541,3955
39914,20324,0,0.00119869,0.00075367,0,33,33
39918,20413,0,0.12849921,0.04408605,0,1703,1703
39919,20413,0,0.05032823,0.01726682,0,667,667
39923,20413,0.11416299,0,0.07499547,2897,0,2897
39924,20413,0.00847257,0.0204482,0.01258122,215,271,486
39925,20413,0,0.00211273,0.00072484,0,28,28
40950,20401,0,0.10716162,0.05424811,0,1224,1224
40951,20401,0,0.06172299,0.03124585,0,705,705
40952,20401,0,0.0632989,0.03204361,0,723,723
40953,20401,0,0.01821047,0.00921863,0,208,208
40954,20401,0,0.00446507,0.00226034,0,51,51
40955,20401,0,0.05541937,0.02805478,0,633,633
40956,20401,0,0.00998074,0.00505252,0,114,114
40957,20401,0,0.02039923,0.01032664,0,233,233
40959,20439,0,0.04116966,0.03803767,0,925,925
40960,20439,0,0.04317251,0.03988815,0,970,970
40961,20439,0,0.13258857,0.12250185,0,2979,2979
40963,20439,0,0.00320456,0.00296077,0,72,72
40964,20439,0,0.01237315,0.01143186,0,278,278
40965,20509,0,0.08603114,0.07281692,0,768,768
40966,20439,0,0.02323304,0.02146558,0,522,522
40967,20012,0,0.03145865,0.02484787,0,245,245
40968,20324,0,0.0102797,0.00646325,0,283,283
40970,20324,0,0.01169633,0.00735395,0,322,322
40971,20324,0,0.0706502,0.04442059,0,1945,1945
40972,20324,0,0.02321104,0.01459371,0,639,639
40973,20324,0,0.0413004,0.0259672,0,1137,1137
40974,20324,0,0.02782419,0.01749418,0,766,766
40976,20413,0,0.00271637,0.00093194,0,36,36
40977,20413,0,0.00513091,0.00176034,0,68,68
40979,20413,0,0.01946729,0.00667892,0,258,258
40980,20413,0,0.00822455,0.00282171,0,109,109
40981,20413,0,0.00739455,0.00253695,0,98,98
40982,20413,0.49574401,0.03953822,0.33922701,12580,524,13104
40983,20413,0.08965164,0,0.05889358,2275,0,2275
40984,20413,0,0.00671546,0.00230397,0,89,89
40985,20413,0,0.00694182,0.00238163,0,92,92
42008,20401,0.04514855,0,0.02229314,503,0,503
42009,20401,0.29683152,0.01978638,0.15658379,3307,226,3533
42011,20401,0,0.00787953,0.00398883,0,90,90
42016,20401,0,0.00998074,0.00505252,0,114,114
42017,20401,0,0.01838557,0.00930727,0,210,210
42018,20439,0,0.00743279,0.00686734,0,167,167
42019,20439,0,0.00818943,0.00756641,0,184,184
42020,20439,0,0.01388642,0.01283,0,312,312
42021,20439,0,0.01486559,0.01373468,0,334,334
42022,20509,1,0.11605243,0.25182516,1620,1036,2656
42023,20509,0,0.18897726,0.1599507,0,1687,1687
42024,20509,0,0.07426907,0.06286148,0,663,663
42025,20012,0,0.0960452,0.07586207,0,748,748
42026,20012,0,0.00629173,0.00496957,0,49,49
42027,20012,0,0.03941962,0.0311359,0,307,307
42029,20324,0,0.02618961,0.01646645,0,721,721
42030,20324,0,0.09484199,0.05963093,0,2611,2611
42031,20324,0,0.00301489,0.00189558,0,83,83
42032,20324,0,0.00955322,0.00600649,0,263,263
42033,20324,0,0.04631311,0.0291189,0,1275,1275
42034,20324,0,0.00145296,0.00091353,0,40,40
42035,20413,0.05359395,0.10171282,0.07010277,1360,1348,2708
42036,20413,0,0.00588546,0.00201921,0,78,78
42037,20413,0,0.03818004,0.01309897,0,506,506
42038,20413,0,0.02505093,0.00859458,0,332,332
42041,20413,0,0.00211273,0.00072484,0,28,28
42042,20413,0,0.00965819,0.00331357,0,128,128
42045,20266,0,0.00116853,0.0010612,0,9,9
43066,20318,0.13046395,0.00988701,0.11054596,4668,70,4738
43067,20318,0.38485187,0.0559322,0.33051797,13770,396,14166
43068,20401,0.2388475,0.04289967,0.13965342,2661,490,3151
43069,20401,0,0.04351252,0.02202721,0,497,497
43070,20401,0,0.02127473,0.01076984,0,243,243
43071,20401,0,0.01094379,0.00554004,0,125,125
43074,20401,0,0.02924181,0.014803,0,334,334
43075,20401,0,0.03239363,0.01639853,0,370,370
43077,20439,0,0.03097739,0.02862078,0,696,696
43078,20439,0,0.02893003,0.02672917,0,650,650
43079,20439,0,0.00048959,0.00045234,0,11,11
43080,20085,0,0.02226711,0.02003102,0,452,452
43081,20509,0,0.01501064,0.01270504,0,134,134
43082,20509,0,0.10619469,0.08988338,0,948,948
43084,20509,0,0.00873754,0.00739547,0,78,78
43086,20012,0,0.00051361,0.00040568,0,4,4
43087,20012,0,0.03543914,0.02799189,0,276,276
43088,20324,0,0.0063567,0.00399671,0,175,175
43089,20324,0,0.02353796,0.01479925,0,648,648
43092,20324,0,0.00036324,0.00022838,0,10,10
43093,20413,0.03022541,0.08564099,0.04923762,767,1135,1902
43094,20413,0.19967686,0.11333283,0.17005359,5067,1502,6569
43095,20413,0,0.02550366,0.0087499,0,338,338
43097,20413,0,0.05417641,0.01858707,0,718,718
43098,20413,0,0.00015091,0.0000518,0,2,2
43099,20413,0,0.00067909,0.00023299,0,9,9
43101,20413,0,0.00015091,0.0000518,0,2,2
43102,20266,0,0.00025967,0.00023582,0,2,2
43103,20266,0,0.24876655,0.22591676,0,1916,1916
44124,20318,0,0.03827684,0.00632291,0,271,271
44125,20318,0.12998882,0.03545198,0.11437238,4651,251,4902
44126,20318,0.07861934,0.04067797,0.07235184,2813,288,3101
44127,20318,0,0.03248588,0.00536631,0,230,230
44128,20401,0,0.01330765,0.00673669,0,152,152
44129,20401,0,0.01645946,0.00833223,0,188,188
44130,20401,0.06642133,0.00884258,0.03727341,740,101,841
44131,20401,0.05645813,0.02101208,0.03851438,629,240,869
44133,20401,0,0.00639118,0.00323539,0,73,73
44134,20401,0,0.00884258,0.00447636,0,101,101
44135,20401,0,0.00507792,0.00257058,0,58,58
44136,20439,0,0.02536941,0.02343943,0,570,570
44137,20439,0,0.0034716,0.0032075,0,78,78
44138,20117,0,0.15779093,0.06606111,0,160,160
44139,20085,0,0.01901572,0.01710614,0,386,386
44140,20509,0,0.02285202,0.01934199,0,204,204
44142,20085,0,0.05152963,0.04635498,0,1046,1046
44144,20012,0,0.01874679,0.0148073,0,146,146
44145,20012,0,0.04494094,0.03549696,0,350,350
44146,20012,0,0.01271186,0.01004057,0,99,99
44147,20324,0,0.03160189,0.01986937,0,870,870
44148,20324,0,0.02066836,0.01299502,0,569,569
44149,20071,0,0.01010918,0.00816994,0,25,25
44150,20071,0,0.0036393,0.00294118,0,9,9
44151,20071,0,0.0258795,0.02091503,0,64,64
