GRIDCODE,CVENTMUN,Promedio de LONG_CARRETERA TOTAL x MUNICIPIO x NO. DE CARRILES (m),Suma de CARRxCELLxCarril,
288836,32031,287692.31,5696.62,
288837,32031,287692.31,2127.12,
288844,14025,157121.82,5044.62,
288849,14081,79337.47,815.99,
288850,14081,79337.47,10478.96,
288851,14081,79337.47,6238.24,
288852,14081,79337.47,7709.44,
288853,14081,79337.47,5363.24,
288856,32055,531407.57,601.05,
288857,32055,531407.57,3429.91,
288858,32055,531407.57,6519.83,
288859,32055,531407.57,2849.94,
288863,32055,531407.57,6410.08,
288876,01008,113783.75,7255.04,
288877,01008,113783.75,6172.93,
288880,01007,261181.98,6766.13,
288881,01007,261181.98,20140.32,
288882,01006,181012.18,289.63,
288882,01007,261181.98,6109.07,
288882,01009,193851.30,2369.44,
288883,01009,193851.30,11657.74,
288884,01009,193851.30,7148.59,
288885,01009,193851.30,13429.99,
288886,01009,193851.30,9529.87,
288887,01002,350750.68,5028.00,
288887,01009,193851.30,7150.80,
288890,01002,350750.68,644.39,
288891,01002,350750.68,9402.28,
288893,32052,117051.08,8109.14,
288896,32024,235755.15,3294.24,
288897,32024,235755.15,3384.31,
288900,32038,751264.37,2450.47,
288901,32038,751264.37,3371.52,
288905,32038,751264.37,775.75,
288906,32038,751264.37,6667.38,
288907,32038,751264.37,2174.92,
288915,24021,715998.78,304.12,
288916,24021,715998.78,11922.93,
288917,24021,715998.78,3161.32,
288923,24021,715998.78,12195.38,
288924,24021,715998.78,7178.36,
288924,24028,774752.29,1586.56,
288925,24021,715998.78,41.92,
288925,24028,774752.29,6015.19,
288927,24035,344218.19,15685.23,
288928,24035,344218.19,11236.31,
288929,24035,344218.19,5136.75,
288930,24009,85110.63,12.25,
288930,24035,344218.19,6072.53,
288931,24009,85110.63,14118.08,
288931,24035,344218.19,8114.45,
288932,24009,85110.63,8529.03,
288932,24035,344218.19,2505.69,
288933,24009,85110.63,7414.23,
288936,24004,242031.65,7047.58,
288937,24004,242031.65,2576.47,
288938,24004,242031.65,1225.44,
288942,24030,173168.16,891.52,
288943,24030,173168.16,17728.72,
288944,24030,173168.16,10173.38,
288951,24052,200271.63,5077.83,
288954,24052,200271.63,7198.17,
288955,24024,555440.13,2639.49,
288955,24052,200271.63,963.56,
288956,24024,555440.13,1909.55,
288957,24024,555440.13,5012.86,
288971,24002,132259.18,987.32,
288972,24002,132259.18,6309.91,
288974,24002,132259.18,9025.06,
288975,24002,132259.18,1987.65,
288986,24013,763392.41,6181.10,
288989,24013,763392.41,1521.86,
288990,24013,763392.41,11455.72,
288995,24013,763392.41,6569.68,
289000,24040,450054.54,6126.49,
289010,24040,450054.54,12029.84,
289011,24016,129467.79,12596.61,
289011,24040,450054.54,3725.24,
289012,24016,129467.79,4222.10,
289020,30123,400534.54,415.29,
289021,30123,400534.54,6360.63,
289022,30123,400534.54,6182.16,
289023,30123,400534.54,11374.51,
289030,30133,94460.39,6108.67,
289034,30133,94460.39,80.01,
289034,30152,173350.93,4816.94,
289035,30152,173350.93,8215.37,
289904,32031,287692.31,1766.15,
289905,32031,287692.31,6500.39,
289906,32031,287692.31,6066.57,
289918,14081,79337.47,6114.18,
289921,14081,79337.47,1566.81,
289922,14081,79337.47,8462.83,
289923,14081,79337.47,1264.77,
289927,32055,531407.57,10133.35,
289931,32055,531407.57,7353.81,
289944,01008,113783.75,5655.64,
289945,01008,113783.75,7661.27,
289947,01007,261181.98,4825.59,
289948,01007,261181.98,6851.12,
289949,01007,261181.98,16441.18,
289950,01007,261181.98,15496.56,
289951,01007,261181.98,50.32,
289951,01009,193851.30,14276.86,
289952,01009,193851.30,8310.97,
289953,01009,193851.30,9790.82,
289954,01002,350750.68,190.30,
289954,01009,193851.30,10945.76,
289955,01002,350750.68,10499.51,
289956,01002,350750.68,3405.06,
289957,01002,350750.68,7497.49,
289958,01002,350750.68,14217.04,
289959,01002,350750.68,10772.89,
289959,32024,235755.15,1932.46,
