GRIDCODE,CVENTMUN,Promedio de LONG_VIALIDAD TOTAL x MUNICIPIO x NO. DE CARRILES (m),Suma de VIALIDADxCELLxCarril
288817,14061,1691171.71,4450.94
288818,14061,1691171.711,544.3425939
288819,14061,1691171.711,10866.15098
288820,14061,1691171.711,13357.49612
288821,14061,1691171.711,6340.821209
288822,14061,1691171.711,3189.402297
288824,14061,1691171.711,3572.289685
288825,14061,1691171.711,3558.640833
288826,14061,1691171.711,5234.030751
288827,14061,1691171.711,3725.524108
288827,32049,1696240.391,161.9586227
288829,14061,1691171.711,3472.280416
288830,14061,1691171.711,3991.725
288831,14061,1691171.711,2368.013744
288833,14061,1691171.711,204.4968502
288834,14061,1691171.711,1069.269301
288835,14061,1691171.711,745.6000299
288835,32031,759025.4936,5002.592575
288836,32031,759025.4936,3353.667801
288839,32031,759025.4936,1753.622373
288840,32031,759025.4936,6335.381428
288841,32031,759025.4936,1170.656749
288842,32031,759025.4936,769.5399966
288843,14025,299107.5214,3906.143805
288843,32031,759025.4936,555.2577367
288844,14025,299107.5214,5308.76655
288845,14025,299107.5214,8775.285772
288846,14025,299107.5214,76.19533327
288847,14025,299107.5214,3749.364945
288849,14081,118440.6546,7677.795565
288850,14081,118440.6546,3923.065498
288851,14081,118440.6546,3565.516021
288852,14081,118440.6546,3415.262395
288853,14081,118440.6546,2728.724479
288854,32055,622792.4064,1767.563354
288855,32055,622792.4064,1666.656494
288856,32055,622792.4064,5335.77375
288857,32055,622792.4064,1079.117435
288858,32055,622792.4064,1511.5249
288859,32055,622792.4064,2460.977172
288862,32055,622792.4064,5791.202218
288863,32055,622792.4064,1569.059317
288865,32055,622792.4064,1166.024875
288866,32055,622792.4064,5422.203864
288867,32055,622792.4064,5378.08605
288869,01008,272609.4976,5107.745744
288870,01008,272609.4976,10576.70847
288871,01008,272609.4976,18218.90905
288872,01008,272609.4976,6810.251621
288873,01008,272609.4976,482.8081122
288875,01008,272609.4976,1746.764485
288876,01008,272609.4976,4413.848709
288877,01008,272609.4976,3166.658762
288878,01007,254020.3737,15.81532953
288878,01008,272609.4976,6942.812477
288880,01007,254020.3737,7304.770022
288881,01007,254020.3737,17747.16866
288882,01006,201142.3079,19.91495831
288882,01007,254020.3737,2833.556757
288882,01009,118726.6256,12594.56294
288883,01009,118726.6256,4144.199053
288884,01009,118726.6256,877.6648172
288885,01009,118726.6256,3831.559498
288888,01002,253473.2035,2321.680187
288889,01002,253473.2035,4442.258779
288890,01002,253473.2035,5061.520277
288891,01002,253473.2035,2694.74261
288891,32052,162233.8073,945.0797118
288892,32052,162233.8073,5298.557703
288893,32052,162233.8073,8728.966178
288894,32052,162233.8073,388.1372168
288897,32024,267064.3257,999.0312629
288898,32024,267064.3257,388.6656267
288898,32038,1322451.36,4561.962251
288899,32038,1322451.36,3296.317063
288900,32038,1322451.36,269.4005921
288901,32038,1322451.36,6516.330012
288903,32038,1322451.36,914.4454482
288904,32038,1322451.36,3931.179094
288905,32038,1322451.36,9308.062874
288906,32038,1322451.36,435.8464339
288907,32038,1322451.36,5278.152868
288908,32038,1322451.36,3136.852482
288910,32038,1322451.36,2064.29033
288911,32038,1322451.36,9355.669139
288912,32038,1322451.36,3022.215643
288913,32038,1322451.36,5367.131648
288914,24021,147438.3207,716.5337073
288914,32038,1322451.36,3349.70182
288918,24021,147438.3207,3470.483404
288923,24021,147438.3207,2539.738453
288924,24021,147438.3207,5732.820159
288924,24028,1431315.963,14277.33342
288925,24028,1431315.963,42108.45988
288926,24028,1431315.963,2814.770258
288927,24035,368091.7753,22966.06778
288928,24035,368091.7753,61366.36291
288929,24035,368091.7753,19165.65113
288930,24035,368091.7753,18519.51344
288931,24009,22056.16242,930.6212007
288931,24035,368091.7753,893.7198638
288932,24009,22056.16242,690.9787145
288933,24009,22056.16242,345.9232284
288936,24004,139312.8327,3323.115872
288937,24004,139312.8327,540.7005042
288938,24004,139312.8327,10508.3492
288939,24004,139312.8327,2916.227284
288940,24004,139312.8327,3152.398713
288940,24030,99508.54825,3225.009176
288941,24030,99508.54825,4694.017067
288943,24030,99508.54825,347.4464311
288945,24030,99508.54825,1719.472113
288946,24030,99508.54825,5605.821306
288947,24030,99508.54825,2360.532007
288948,24030,99508.54825,4160.721244
288948,24052,138569.4399,4915.586812
288949,24030,99508.54825,39.99541509
288949,24052,138569.4399,993.4294855
288951,24052,138569.4399,1206.126297
288952,24052,138569.4399,2375.378842
288953,24052,138569.4399,7584.004616
288960,24024,845476.2925,4163.15042
288961,24024,845476.2925,6127.512263
288962,24024,845476.2925,64.92798775
288963,24024,845476.2925,4203.400294
288964,24024,845476.2925,1241.71515
288967,24010,364408.1228,2660.010142
288968,24002,139150.5717,745.7512999
288968,24010,364408.1228,6016.715713
288969,24002,139150.5717,2310.913738
288970,24002,139150.5717,3116.140256
288971,24002,139150.5717,3682.500087
288972,24002,139150.5717,4582.935832
288973,24002,139150.5717,4359.472595
288974,24002,139150.5717,1081.487489
288975,24002,139150.5717,3945.410108
288976,24002,139150.5717,5181.250336
288977,24036,480550.6064,1743.654838
288978,24036,480550.6064,3312.188924
288979,24036,480550.6064,3322.017964
288981,24036,480550.6064,2430.39871
288982,24036,480550.6064,329.2171941
288983,24036,480550.6064,8179.301159
288983,24058,263966.3166,3795.671929
288985,24013,1002429.203,4927.97819
288986,24013,1002429.203,6467.490832
288987,24013,1002429.203,6416.95522
288989,24013,1002429.203,1408.398307
288990,24013,1002429.203,1655.120832
288991,24013,1002429.203,95.02622522
288995,24013,1002429.203,4206.41945
288998,24040,827245.4608,4076.74232
288999,24040,827245.4608,5291.85173
289000,24040,827245.4608,6760.054349
289001,24040,827245.4608,2022.846446
289002,24040,827245.4608,7894.56401
289003,24040,827245.4608,7247.835214
289004,24040,827245.4608,6883.548733
289005,24040,827245.4608,8404.722296
289006,24040,827245.4608,4062.70814
289007,24040,827245.4608,8129.1464
