GRIDCODE,CVENTMUN,Suma de Fa,
288820,14061,0.004928964,
288821,14061,0.000858016,
288822,14061,0.003041521,
288823,14061,0.000134688,
288824,14061,0.000380293,
288825,14061,0.005586543,
288827,32049,3.23574E-05,
288829,14061,0.000475061,
288830,14061,0.004894276,
288831,14061,0.00011884,
288835,32031,0.004553772,
288836,32031,0.01005365,
288837,32031,0.002016932,
288838,32031,0.003629832,
288839,32031,0.007347144,
288840,32031,0.005581065,
288841,32031,0.001091217,
288842,14025,0.000359799,
288842,32031,0.002045333,
288843,14025,0.037737974,
288843,32031,0.000226141,
288844,14025,0.036426298,
288845,14025,0.025733629,
288846,14025,0.003057574,
288849,14081,0.051927223,
288850,14081,0.010125598,
288851,14081,0.092406562,
288852,14081,0.029357986,
288853,14081,0.106311426,
288854,14081,0.00032588,
288854,32055,0.002104868,
288855,32055,0.002323185,
288856,32055,0.001004804,
288857,32055,0.00399702,
288858,32055,0.008511521,
288859,32055,0.005367195,
288860,32055,0.001161823,
288861,32055,0.001442559,
288862,32055,0.004787997,
288863,32055,0.002173414,
288864,32055,0.000182778,
288865,32055,0.000489959,
288866,32055,0.001920363,
288867,32055,0.003114602,
288868,32055,8.32101E-06,
288870,01008,6.72219E-05,
288871,01008,0.000125096,
288873,01008,0.007328555,
288874,01008,0.006383445,
288875,01008,0.026774261,
288876,01008,0.053720073,
288877,01008,0.02696622,
288878,01007,0.001708484,
288878,01008,0.014678023,
288879,01007,0.003525178,
288880,01007,0.035566726,
288881,01007,0.049507777,
288882,01006,0.000598989,
288882,01007,0.018668976,
288882,01009,0.040754749,
288883,01006,0.000624581,
288883,01009,0.0633149,
288884,01009,0.059960694,
288885,01009,0.005364054,
288886,01009,0.002431393,
288887,01002,0.004700105,
288887,01009,0.001871528,
288888,01002,0.004876986,
288889,01002,0.018797728,
288890,01002,0.015293119,
288891,01002,0.009371555,
288891,32052,0.003966384,
288892,32052,0.013896807,
288893,32052,0.018467435,
288894,32052,0.000285885,
288895,32024,0.000337445,
288896,32024,0.001684298,
288897,32024,0.003483638,
288897,32038,2.69898E-06,
288898,32024,0.001248988,
288898,32038,0.001154863,
288899,32038,0.002575869,
288900,32038,0.004544597,
288901,32038,0.006071065,
288902,32038,0.007153173,
288903,32038,0.001847146,
288904,32038,0.006879942,
288905,32038,0.006664713,
288906,32038,0.006163748,
288907,32038,0.004684887,
288908,32038,0.002413456,
288910,32038,3.32998E-05,
288911,32038,0.002883076,
288912,32038,0.004021101,
288913,32038,0.000639133,
288914,24021,0.003825562,
288914,32038,0.000839092,
288915,24021,0.003684243,
288916,24021,0.004886154,
288917,24021,0.000520438,
288918,24021,0.00256928,
288919,24021,0.001466922,
288923,24021,0.006021697,
288924,24021,0.021281209,
288924,24028,0.004546478,
