GRIDCODE,CVENTMUN,Fb,
288817,14061,0.010846633,
288818,14061,0.011486808,
288819,14061,0.012803238,
288820,14061,0.011668293,
288821,14061,0.016773428,
288822,14061,0.010746371,
288823,14061,0.010660034,
288824,14061,0.009278288,
288825,14061,0.008010534,
288826,14061,0.008557224,
288827,14061,0.005356048,
288827,32049,0.002958657,
288828,14061,0.008123841,
288828,32049,0.001257816,
288829,14061,0.011143584,
288830,14061,0.010486719,
288830,14115,2.37523E-07,
288831,14061,0.019590975,
288831,14115,2.21322E-05,
288832,14061,0.111011991,
288833,14061,0.028347938,
288834,14061,0.049056095,
288834,32031,1.97679E-05,
288835,14061,0.003310475,
288835,32031,0.021209947,
288836,32031,0.014939436,
288837,32031,0.038972034,
288838,32031,0.039559297,
288839,32031,0.03596078,
288840,32031,0.025073392,
288841,32031,0.039628937,
288842,14025,0.003349691,
288842,32031,0.027316118,
288843,14025,0.018587809,
288843,32031,0.006172593,
288844,14025,0.028826333,
288845,14025,0.03712295,
288846,14025,0.078031588,
288847,14025,0.106288884,
288847,14081,0.001585085,
288848,14025,0.019695297,
288848,14081,0.326356261,
288849,14081,0.073221253,
288850,14081,0.076433934,
288851,14081,0.050375612,
288852,14081,0.135800486,
288853,14081,0.140022575,
288853,32055,0.000686759,
288854,14081,0.058443998,
288854,32055,0.031462011,
288855,14081,0.002786399,
288855,32055,0.030690247,
288856,32055,0.019860451,
288857,32055,0.01329375,
288858,32055,0.007882764,
288859,32055,0.017784325,
288860,32055,0.02238111,
288861,32055,0.024323126,
288862,32055,0.021648877,
288863,32055,0.025573755,
288864,32055,0.033535033,
288865,32055,0.031146509,
288866,32055,0.022585431,
288867,32055,0.018642806,
288868,01008,0.003189259,
288868,32055,0.046218256,
288869,01008,0.039801726,
288869,32055,0.017158993,
288870,01008,0.054116911,
288871,01008,0.046119391,
288872,01008,0.042428285,
288873,01008,0.03570996,
288874,01008,0.037849689,
288875,01008,0.034389416,
288876,01008,0.141314491,
288877,01008,0.205119984,
288878,01007,0.019604825,
288878,01008,0.087236749,
288879,01007,0.558812119,
288879,01008,0.00198346,
288880,01007,0.109222286,
288883,01009,0.031507294,
288884,01009,0.015656504,
288885,01009,0.151287444,
288886,01009,0.247555858,
288887,01002,0.159820316,
288887,01009,0.057503258,
288888,01002,0.171659628,
288889,01002,0.033349789,
288890,01002,0.037610287,
288891,01002,0.024770608,
288891,32052,0.053247755,
288892,32052,0.069728656,
288893,32052,0.135235748,
288894,32052,0.293044329,
288895,32024,0.363923795,
288895,32052,0.229212636,
288896,32024,0.115179259,
288897,32024,0.129139531,
288897,32038,0.000392796,
288898,32024,0.02761376,
288898,32038,0.040774802,
288899,32038,0.061027442,
288900,32038,0.004033057,
288901,32038,0.001016783,
288902,32038,0.000140197,
288903,32038,0.006825937,
288904,32038,0.000462282,
288905,32038,0.000105975,
288906,32038,0.001539561,
288907,32038,0.003930085,
288908,32038,0.007200891,
288909,32038,0.021154637,
288910,32038,0.011229692,
288911,32038,0.006021573,
288912,32038,0.004940865,
288913,32038,0.01004045,
288914,24021,0.018106393,
288914,32038,0.002370004,
288915,24021,0.031424356,
288916,24021,0.030393085,
288917,24021,0.042818162,
288918,24021,0.064016503,
288919,24021,0.097335848,
288920,24021,0.22121388,
288921,24021,0.196354736,
288922,24021,0.068740018,
288923,24021,0.033645783,
288924,24021,0.000682781,
288924,24028,0.001234136,
288930,24035,0.002617557,
