GRIDCODE,CVENTMUN,Furb,Frural,FpoT,PobUrb,PobR,PubU+R,PoT
12437,frac,,,,,,,
288817,14061,,0.000308578,0.000308578,,6,6,19444
288819,14061,,0.00411438,0.00411438,,80,80,19444
288820,14061,,0.003960091,0.003960091,,77,77,19444
288821,14061,,0.002262909,0.002262909,,44,44,19444
288822,14061,,0.003085785,0.003085785,,60,60,19444
288825,14061,,0.001851471,0.001851471,,36,36,19444
288826,14061,,0.000102859,0.000102859,,2,2,19444
288830,14061,,0.002468628,0.002468628,,48,48,19444
288833,14061,,0.000102859,0.000102859,,2,2,19444
288835,32031,,0.000901713,0.000901713,,4,4,4436
288840,32031,,0.001127142,0.001127142,,5,5,4436
288843,14025,,0.023903509,0.023903509,,109,109,4560
288843,32031,,0.000450857,0.000450857,,2,2,4436
288844,14025,,0.064035088,0.064035088,,292,292,4560
288845,14025,,0.001754386,0.001754386,,8,8,4560
288849,14081,0.422775801,0.046919431,0.19715505,594,99,693,3515
288850,14081,0.019928826,,0.019928826,28,,28,1405
288851,14081,,0.08957346,0.08957346,,189,189,2110
288852,14081,,0.041232227,0.041232227,,87,87,2110
288853,14081,,0.027962085,0.027962085,,59,59,2110
288854,32055,,0.003141286,0.003141286,,44,44,14007
288856,32055,,0.007139287,0.007139287,,100,100,14007
288858,32055,,0.005925609,0.005925609,,83,83,14007
288871,01008,,0.002027883,0.002027883,,8,8,3945
288877,01008,,0.009632446,0.009632446,,38,38,3945
288878,01008,,0.038022814,0.038022814,,150,150,3945
288879,01007,0,,0,0,,0,42562
288880,01007,0.011512617,0.016343621,0.012759504,490,242,732,57369
288881,01007,,0.019180118,0.019180118,,284,284,14807
288882,01007,,0.003309246,0.003309246,,49,49,14807
288882,01009,,0.021763518,0.021763518,,291,291,13371
288883,01009,,0.172537581,0.172537581,,2307,2307,13371
288884,01009,,7.47887E-05,7.47887E-05,,1,1,13371
288885,01009,,0.036422108,0.036422108,,487,487,13371
288887,01009,,0.039937177,0.039937177,,534,534,13371
288888,01002,,2.96068E-05,2.96068E-05,,1,1,33776
288889,01002,,0.002575793,0.002575793,,87,87,33776
288890,01002,0.05411036,0.020843202,0.032307513,961,704,1665,51536
288891,01002,0.164527027,0.000621743,0.057105713,2922,21,2943,51536
288892,32052,,0.002477226,0.002477226,,31,31,12514
288893,32052,,0.019338341,0.019338341,,242,242,12514
288897,32024,,0.018398888,0.018398888,,450,450,24458
288899,32038,,0.006177423,0.006177423,,391,391,63295
288901,32038,,0.00622482,0.00622482,,394,394,63295
288904,32038,,0.001248124,0.001248124,,79,79,63295
288905,32038,,0.033304368,0.033304368,,2108,2108,63295
288906,32038,,3.15981E-05,3.15981E-05,,2,2,63295
288908,32038,,0.004218343,0.004218343,,267,267,63295
288910,32038,,0.000142191,0.000142191,,9,9,63295
288911,32038,,0.010885536,0.010885536,,689,689,63295
288914,32038,,0.000631961,0.000631961,,40,40,63295
288916,24021,,0.003848031,0.003848031,,205,205,53274
288918,24021,,0.004392387,0.004392387,,234,234,53274
288923,24021,0.214051973,,0.214051973,1112,,1112,5195
288924,24021,0.484311838,0.040244772,0.079700354,2516,2144,4660,58469
288924,24028,0.005456555,0.007189772,0.005526873,4774,266,5040,911908
288925,24028,0.084266857,0.017460875,0.081556473,73726,646,74372,911908
288926,24028,0.058572815,,0.058572815,51246,,51246,874911
288927,24028,0.008283128,,0.008283128,7247,,7247,874911
288927,24035,0.148055391,0.025819103,0.143550194,47353,316,47669,332072
288928,24035,0.078703573,0.00081706,0.075832952,25172,10,25182,332072
288929,24035,0.026779601,0.010785195,0.026190103,8565,132,8697,332072
288930,24035,,0.033499469,0.033499469,,410,410,12239
288931,24009,,0.040985261,0.040985261,,203,203,4953
288931,24035,,0.000980472,0.000980472,,12,12,12239
288932,24009,,0.011710075,0.011710075,,58,58,4953
288938,24004,,0.02590394,0.02590394,,96,96,3706
288939,24004,,0.000539665,0.000539665,,2,2,3706
288940,24030,,0.002793296,0.002793296,,11,11,3938
288941,24030,,0.00380904,0.00380904,,15,15,3938
288943,24030,,0.085322499,0.085322499,,336,336,3938
288944,24030,,0.022346369,0.022346369,,88,88,3938
288947,24030,,0.014220416,0.014220416,,56,56,3938
288951,24052,,0.01745892,0.01745892,,119,119,6816
288953,24052,,0.015551643,0.015551643,,106,106,6816
288961,24024,,0.000125676,0.000125676,,5,5,39785
288963,24024,,0.002161619,0.002161619,,86,86,39785
288968,24010,,0.009840172,0.009840172,,165,165,16768
288972,24002,,0.052209443,0.052209443,,345,345,6608
288974,24002,,0.041162228,0.041162228,,272,272,6608
288975,24002,,0.000302663,0.000302663,,2,2,6608
288977,24036,,0.000118015,0.000118015,,2,2,16947
288982,24036,,0.00023603,0.00023603,,4,4,16947
288983,24036,,0.00023603,0.00023603,,4,4,16947
288985,24013,,7.36594E-05,7.36594E-05,,3,3,40728
288986,24013,,0.000196425,0.000196425,,8,8,40728
288987,24013,,4.91063E-05,4.91063E-05,,2,2,40728
288989,24013,,0.011220782,0.011220782,,457,457,40728
288990,24013,,0.000417403,0.000417403,,17,17,40728
288995,24013,,0.00046651,0.00046651,,19,19,40728
288998,24040,,0.000118001,0.000118001,,2,2,16949
289000,24040,,0.065903593,0.065903593,,1117,1117,16949
289002,24040,,5.90005E-05,5.90005E-05,,1,1,16949
289006,24040,,0.000177002,0.000177002,,3,3,16949
289007,24040,,5.90005E-05,5.90005E-05,,1,1,16949
289010,24040,,0.000531005,0.000531005,,9,9,16949
289011,24016,0.006720864,0.003808966,0.006234871,229,26,255,40899
289012,24016,,0.000878992,0.000878992,,6,6,6826
289013,24016,,0.001171989,0.001171989,,8,8,6826
289014,24016,,0.027102256,0.027102256,,185,185,6826
289019,30123,,0.000297097,0.000297097,,11,11,37025
289020,30123,,2.70088E-05,2.70088E-05,,1,1,37025
289021,30123,,0.000567184,0.000567184,,21,21,37025
289022,30123,,0.055584065,0.055584065,,2058,2058,37025
289023,30123,,0.049074949,0.049074949,,1817,1817,37025
289024,30123,,5.40176E-05,5.40176E-05,,2,2,37025
289025,30123,,0.000108035,0.000108035,,4,4,37025
289026,30123,,0.002295746,0.002295746,,85,85,37025
289026,30133,,0.02924282,0.02924282,,168,168,5745
289027,30123,,0.006049966,0.006049966,,224,224,37025
289027,30133,,0.024194952,0.024194952,,139,139,5745
289028,30133,,0.020365535,0.020365535,,117,117,5745
289029,30133,,0.002436902,0.002436902,,14,14,5745
289033,30152,,0.001919819,0.001919819,,17,17,8855
289034,30152,,0.030265387,0.030265387,,268,268,8855
289035,30152,,0.007566347,0.007566347,,67,67,8855
289886,14061,,0.001234314,0.001234314,,24,24,19444
289887,14061,,0.001388603,0.001388603,,27,27,19444
289888,14061,,0.006531578,0.006531578,,127,127,19444
