GRIDCODE,LONG,LATITUDE,Huso,POB,X ,Y ,UTM_Zones
240,240,"EI 2016 for Monterrey V4.0",,,,,
288817,-104.1704738,22.18014594,6,6,2277321.774,1130649.062,13
288818,-104.1412368,22.18055529,6,0,2280321.774,1130649.062,13
288819,-104.1119996,22.18095909,6,80,2283321.774,1130649.062,13
288820,-104.0827622,22.18135733,6,77,2286321.774,1130649.062,13
288821,-104.0535247,22.18175002,6,44,2289321.774,1130649.062,13
288822,-104.024287,22.18213716,6,60,2292321.774,1130649.062,13
288823,-103.9950491,22.18251875,6,0,2295321.774,1130649.062,13
288824,-103.9658111,22.18289479,6,0,2298321.774,1130649.062,13
288825,-103.9365728,22.18326528,6,36,2301321.774,1130649.062,13
288826,-103.9073345,22.18363022,6,2,2304321.774,1130649.062,13
288827,-103.8780959,22.1839896,6,0,2307321.774,1130649.062,13
288828,-103.8488572,22.18434344,6,0,2310321.774,1130649.062,13
288829,-103.8196184,22.18469172,6,0,2313321.774,1130649.062,13
288830,-103.7903794,22.18503445,6,48,2316321.774,1130649.062,13
288831,-103.7611403,22.18537163,6,0,2319321.774,1130649.062,13
288832,-103.731901,22.18570326,6,0,2322321.774,1130649.062,13
288833,-103.7026615,22.18602934,6,2,2325321.774,1130649.062,13
288834,-103.673422,22.18634986,6,0,2328321.774,1130649.062,13
288835,-103.6441823,22.18666483,6,4,2331321.774,1130649.062,13
288836,-103.6149424,22.18697425,6,0,2334321.774,1130649.062,13
288837,-103.5857024,22.18727812,6,0,2337321.774,1130649.062,13
288838,-103.5564623,22.18757644,6,0,2340321.774,1130649.062,13
288839,-103.5272221,22.18786921,6,0,2343321.774,1130649.062,13
288840,-103.4979817,22.18815642,6,5,2346321.774,1130649.062,13
288841,-103.4687412,22.18843808,6,0,2349321.774,1130649.062,13
288842,-103.4395006,22.18871419,6,0,2352321.774,1130649.062,13
288843,-103.4102598,22.18898475,6,111,2355321.774,1130649.062,13
288844,-103.381019,22.18924975,6,292,2358321.774,1130649.062,13
288845,-103.351778,22.18950921,6,8,2361321.774,1130649.062,13
288846,-103.3225369,22.18976311,6,0,2364321.774,1130649.062,13
288847,-103.2932957,22.19001146,6,0,2367321.774,1130649.062,13
288848,-103.2640544,22.19025425,6,0,2370321.774,1130649.062,13
288849,-103.234813,22.1904915,6,693,2373321.774,1130649.062,13
288850,-103.2055715,22.19072319,6,28,2376321.774,1130649.062,13
288851,-103.1763299,22.19094933,6,189,2379321.774,1130649.062,13
288852,-103.1470882,22.19116992,6,87,2382321.774,1130649.062,13
288853,-103.1178464,22.19138495,6,59,2385321.774,1130649.062,13
288854,-103.0886045,22.19159444,6,44,2388321.774,1130649.062,13
288855,-103.0593625,22.19179837,6,0,2391321.774,1130649.062,13
288856,-103.0301204,22.19199675,6,100,2394321.774,1130649.062,13
288857,-103.0008783,22.19218957,6,0,2397321.774,1130649.062,13
288858,-102.971636,22.19237685,6,83,2400321.774,1130649.062,13
288859,-102.9423937,22.19255857,6,0,2403321.774,1130649.062,13
288860,-102.9131513,22.19273473,6,0,2406321.774,1130649.062,13
288861,-102.8839088,22.19290535,6,0,2409321.774,1130649.062,13
288862,-102.8546663,22.19307041,6,0,2412321.774,1130649.062,13
288863,-102.8254237,22.19322992,6,0,2415321.774,1130649.062,13
288864,-102.796181,22.19338388,6,0,2418321.774,1130649.062,13
288865,-102.7669382,22.19353229,6,0,2421321.774,1130649.062,13
288866,-102.7376954,22.19367514,6,0,2424321.774,1130649.062,13
288867,-102.7084525,22.19381244,6,0,2427321.774,1130649.062,13
288868,-102.6792096,22.19394419,6,0,2430321.774,1130649.062,13
288869,-102.6499666,22.19407038,6,0,2433321.774,1130649.062,13
288870,-102.6207235,22.19419102,6,0,2436321.774,1130649.062,13
288871,-102.5914804,22.19430611,6,8,2439321.774,1130649.062,13
288872,-102.5622373,22.19441565,6,0,2442321.774,1130649.062,13
288873,-102.5329941,22.19451963,6,0,2445321.774,1130649.062,13
288874,-102.5037508,22.19461806,6,0,2448321.774,1130649.062,13
288875,-102.4745075,22.19471094,6,0,2451321.774,1130649.062,13
288876,-102.4452642,22.19479826,6,0,2454321.774,1130649.062,13
288877,-102.4160209,22.19488004,6,38,2457321.774,1130649.062,13
288878,-102.3867775,22.19495626,6,150,2460321.774,1130649.062,13
288879,-102.357534,22.19502692,6,0,2463321.774,1130649.062,13
288880,-102.3282906,22.19509204,6,732,2466321.774,1130649.062,13
288881,-102.2990471,22.1951516,6,284,2469321.774,1130649.062,13
288882,-102.2698036,22.1952056,6,340,2472321.774,1130649.062,13
288883,-102.24056,22.19525406,6,2307,2475321.774,1130649.062,13
288884,-102.2113165,22.19529696,6,1,2478321.774,1130649.062,13
288885,-102.1820729,22.19533431,6,487,2481321.774,1130649.062,13
288886,-102.1528293,22.19536611,6,0,2484321.774,1130649.062,13
288887,-102.1235857,22.19539235,6,534,2487321.774,1130649.062,13
288888,-102.0943421,22.19541304,6,1,2490321.774,1130649.062,13
288889,-102.0650985,22.19542818,6,87,2493321.774,1130649.062,13
288890,-102.0358549,22.19543776,6,1665,2496321.774,1130649.062,13
288891,-102.0066113,22.19544179,6,2943,2499321.774,1130649.062,13
288892,-101.9773676,22.19544027,6,31,2502321.774,1130649.062,14
288893,-101.948124,22.1954332,6,242,2505321.774,1130649.062,14
288894,-101.9188804,22.19542057,6,0,2508321.774,1130649.062,14
288895,-101.8896368,22.19540239,6,0,2511321.774,1130649.062,14
288896,-101.8603932,22.19537866,6,0,2514321.774,1130649.062,14
288897,-101.8311496,22.19534937,6,450,2517321.774,1130649.062,14
288898,-101.801906,22.19531454,6,0,2520321.774,1130649.062,14
288899,-101.7726625,22.19527414,6,391,2523321.774,1130649.062,14
288900,-101.7434189,22.1952282,6,0,2526321.774,1130649.062,14
288901,-101.7141754,22.1951767,6,394,2529321.774,1130649.062,14
288902,-101.6849319,22.19511965,6,0,2532321.774,1130649.062,14
288903,-101.6556884,22.19505705,6,0,2535321.774,1130649.062,14
288904,-101.626445,22.19498889,6,79,2538321.774,1130649.062,14
288905,-101.5972016,22.19491519,6,2108,2541321.774,1130649.062,14
288906,-101.5679582,22.19483592,6,2,2544321.774,1130649.062,14
288907,-101.5387148,22.19475111,6,0,2547321.774,1130649.062,14
288908,-101.5094715,22.19466074,6,267,2550321.774,1130649.062,14
288909,-101.4802283,22.19456482,6,0,2553321.774,1130649.062,14
288910,-101.4509851,22.19446335,6,9,2556321.774,1130649.062,14
288911,-101.4217419,22.19435633,6,689,2559321.774,1130649.062,14
288912,-101.3924988,22.19424375,6,0,2562321.774,1130649.062,14
288913,-101.3632557,22.19412562,6,0,2565321.774,1130649.062,14
288914,-101.3340127,22.19400193,6,40,2568321.774,1130649.062,14
288915,-101.3047697,22.1938727,6,0,2571321.774,1130649.062,14
288916,-101.2755268,22.19373791,6,205,2574321.774,1130649.062,14
288917,-101.2462839,22.19359756,6,0,2577321.774,1130649.062,14
288918,-101.2170412,22.19345167,6,234,2580321.774,1130649.062,14
288919,-101.1877984,22.19330022,6,0,2583321.774,1130649.062,14
288920,-101.1585558,22.19314322,6,0,2586321.774,1130649.062,14
288921,-101.1293132,22.19298067,6,0,2589321.774,1130649.062,14
288922,-101.1000707,22.19281257,6,0,2592321.774,1130649.062,14
288923,-101.0708282,22.19263891,6,1112,2595321.774,1130649.062,14
288924,-101.0415859,22.1924597,6,9700,2598321.774,1130649.062,14
288925,-101.0123436,22.19227494,6,74372,2601321.774,1130649.062,14
288926,-100.9831014,22.19208462,6,51246,2604321.774,1130649.062,14
288927,-100.9538593,22.19188875,6,54916,2607321.774,1130649.062,14
288928,-100.9246173,22.19168733,6,25182,2610321.774,1130649.062,14
288929,-100.8953753,22.19148036,6,8697,2613321.774,1130649.062,14
288930,-100.8661335,22.19126784,6,410,2616321.774,1130649.062,14
288931,-100.8368917,22.19104976,6,215,2619321.774,1130649.062,14
288932,-100.8076501,22.19082613,6,58,2622321.774,1130649.062,14
288933,-100.7784085,22.19059695,6,0,2625321.774,1130649.062,14
288934,-100.7491671,22.19036221,6,0,2628321.774,1130649.062,14
